Batch Sizes: 16 32 
Epoch & Fidelity & KL & Runtime 
1 0.448881 0.986819 0.546818
2 0.507167 0.817482 1.078144
3 0.580006 0.660046 1.640718
4 0.634943 0.558272 2.187555
5 0.675258 0.475942 2.718876
6 0.711673 0.42263 3.265714
7 0.735923 0.376005 3.781304
8 0.757083 0.352058 4.328141
9 0.771922 0.328938 4.875592
10 0.782725 0.32055 5.391179
11 0.791434 0.30291 5.938015
12 0.797197 0.300876 6.469231
13 0.805409 0.288126 6.985068
14 0.811371 0.275982 7.516282
15 0.817197 0.271414 8.0476
16 0.819254 0.26285 8.578813
17 0.822866 0.264342 9.141273
18 0.828087 0.246431 9.688451
19 0.831642 0.240505 10.235286
20 0.833714 0.243246 10.809741
21 0.838269 0.234119 11.362827
22 0.840838 0.225414 12.0659
23 0.843698 0.221778 12.925457
24 0.845236 0.228456 13.847268
25 0.850534 0.212321 14.61284
26 0.854136 0.204735 15.222559

Epoch & Fidelity & KL & Runtime 
1 0.442035 0.997499 0.328209
2 0.471298 0.915054 0.73443
3 0.506671 0.819356 1.046908
4 0.545121 0.733335 1.328258
5 0.580675 0.664616 1.656359
6 0.61162 0.608234 2.000085
7 0.638739 0.554451 2.296939
8 0.662734 0.505477 2.609419
9 0.686386 0.463027 2.921895
10 0.706641 0.421323 3.235043
11 0.725645 0.393875 3.54752
12 0.741254 0.367314 3.891246
13 0.753872 0.346269 4.219347
14 0.764846 0.331271 4.54745
15 0.773291 0.322658 4.922425
16 0.781564 0.310625 5.297615
17 0.788664 0.298338 5.594468
18 0.793578 0.295741 5.891322
19 0.799335 0.284967 6.219535
20 0.802268 0.283678 6.547637
21 0.806993 0.27811 6.906986
22 0.811183 0.266986 7.250835
23 0.813074 0.273818 7.563313
24 0.817367 0.25989 7.938286
25 0.820663 0.254295 8.329013
26 0.822754 0.252735 8.641493
27 0.824919 0.250472 8.95397
28 0.827372 0.247919 9.250991
29 0.829589 0.246531 9.594717
30 0.833155 0.238984 9.891571
31 0.83635 0.235293 10.266547
32 0.838438 0.230883 10.594646
33 0.839993 0.227337 10.922749
34 0.842345 0.2218 11.266715
35 0.845304 0.217754 11.641688
36 0.846249 0.217123 12.01666
37 0.849078 0.213275 12.329254
38 0.851122 0.207079 12.719851
39 0.85247 0.206601 13.079201
40 0.854158 0.199171 13.454281
41 0.855907 0.198729 13.829253
42 0.857839 0.19929 14.204228
43 0.860309 0.191278 14.532329
44 0.862205 0.189766 14.891679
45 0.864191 0.185713 15.251352

