Optimizer is Adam
LR is 0.0001
Epoch & Fidelity & Runtime
1 0.114077 7.887254
2 0.161854 15.795476
3 0.201153 23.726814
4 0.229127 31.528705
5 0.25538 39.323824
6 0.280739 47.276117
7 0.308091 55.120202
8 0.335227 63.048608
9 0.360297 70.879604
10 0.382202 78.66956
11 0.400762 86.54489
12 0.417443 94.311054
13 0.433471 102.193955
14 0.448101 110.086637
15 0.464302 117.868766
16 0.476564 125.793401
17 0.490186 133.642484
18 0.502684 141.492133
19 0.515542 149.306669
20 0.524178 157.062019
21 0.532413 165.001828
22 0.540957 172.805878
23 0.547524 180.629378
24 0.552244 188.592438
25 0.556786 196.518205
26 0.5609 204.336877
27 0.565024 212.305499
28 0.566959 220.096387
29 0.574115 227.917867
30 0.577528 235.726269
31 0.581394 243.600821
32 0.581304 251.447099
33 0.585587 259.419379
34 0.588603 267.320988
35 0.589704 275.187745
36 0.592715 283.188939
37 0.597732 291.031764
38 0.597398 298.881992
39 0.603386 306.747333

Optimizer is NAG
LR is 0.001
Epoch & Fidelity & Runtime
1 0.470764 7.30603
2 0.565031 14.660428
3 0.602761 22.078275
4 0.65302 29.430703
5 0.687985 36.812856
6 0.718388 44.291385
7 0.751014 51.673885
8 0.761137 59.145184
9 0.774972 66.605017
10 0.78514 73.962276
11 0.797735 81.386595
12 0.792734 88.77734
13 0.804399 96.163834
14 0.814045 103.61778
15 0.821313 111.007277
16 0.829566 118.391756
17 0.830116 125.801496
18 0.835555 133.326658
19 0.836284 140.734143
20 0.835693 148.140627
21 0.852272 155.671699
22 0.852003 163.085333
23 0.851402 170.484293
24 0.850182 178.036885
25 0.848043 185.405961
26 0.843954 192.95201
27 0.857553 200.325849
28 0.863782 207.847554
29 0.854045 215.25656
30 0.857592 222.722759
31 0.860835 230.195443
32 0.857713 237.710892
33 0.82148 245.1227
34 0.850217 252.65748
35 0.860353 260.021919
36 0.864825 267.43022
37 0.839256 274.869981
38 0.845391 282.36745
39 0.8657 289.739954
40 0.870547 297.160149
41 0.877422 304.563255

Optimizer is SGD
LR is 0.01
Epoch & Fidelity & Runtime
1 0.433815 7.399747
2 0.549104 14.161802
3 0.573987 21.037132
4 0.61121 27.890306
5 0.656306 34.761667
6 0.69415 41.653312
7 0.718141 48.507905
8 0.741222 55.392927
9 0.75529 62.221254
10 0.77347 69.098025
11 0.779362 75.973048
12 0.781308 82.838428
13 0.801483 89.630229
14 0.789307 96.545994
15 0.820147 103.412688
16 0.823202 110.356499
17 0.830296 117.24367
18 0.812827 124.109371
19 0.838071 130.953097
20 0.843281 137.909455
21 0.849036 144.791442
22 0.853091 151.680529
23 0.843928 158.645515
24 0.837163 165.490067
25 0.856301 172.438734
26 0.856632 179.275744
27 0.861183 186.194391
28 0.864598 193.132592
29 0.849107 200.169325
30 0.868332 207.055377
31 0.872205 214.035778
32 0.878713 220.874369
33 0.879907 227.796064
34 0.877005 234.732686
35 0.876998 241.66869
36 0.878733 248.631283
37 0.882846 255.566932
38 0.867521 262.572907
39 0.874028 269.494172
40 0.887781 276.394926
41 0.889232 283.260962
42 0.887627 290.204114
43 0.890086 297.069967
44 0.887545 303.941539

Optimizer is SGDM
LR is 0.001
Epoch & Fidelity & Runtime
1 0.419516 6.917513
2 0.535375 13.842556
3 0.579555 20.882883
4 0.612921 27.870329
5 0.645778 34.924958
6 0.67205 41.938486
7 0.707472 48.977771
8 0.705186 55.998807
9 0.726476 62.986875
10 0.747743 70.084758
11 0.745672 77.109878
12 0.771227 84.153422
13 0.771459 91.208398
14 0.794325 98.310186
15 0.788787 105.311053
16 0.801275 112.401574
17 0.795069 119.455768
18 0.808941 126.52897
19 0.820168 133.685846
20 0.781758 140.835351
21 0.820419 147.918873
22 0.816993 154.927353
23 0.815805 162.030591
24 0.819821 168.996176
25 0.808559 176.036093
26 0.831291 183.097198
27 0.807682 190.11568
28 0.812101 197.100605
29 0.838673 204.22045
30 0.839347 211.25228
31 0.797662 218.336973
32 0.81004 225.383322
33 0.825118 232.437327
34 0.823596 239.592483
35 0.830419 246.737268
36 0.770624 253.728798
37 0.814131 260.703679
38 0.823345 267.759558
39 0.834492 274.823247
40 0.812327 281.933341
41 0.806544 289.029531
42 0.7839 296.101032
43 0.806776 303.105825

