k Values: 2 4 
Epoch & Fidelity & KL & Runtime 
1 0.431282 1.037475 0.765682
2 0.45931 0.942793 1.468761
3 0.510343 0.813084 2.218705
4 0.56397 0.715449 2.828038
5 0.603709 0.643132 3.452994
6 0.643003 0.555884 4.04725
7 0.681426 0.471593 4.65669
8 0.718971 0.40766 5.297272
9 0.745066 0.365565 5.906711
10 0.766245 0.338967 6.514033
11 0.77979 0.315713 7.170238
12 0.790475 0.301945 7.779809
13 0.801407 0.289392 8.389139
14 0.807339 0.28694 8.998581
15 0.813375 0.273782 9.60802
16 0.816667 0.269457 10.232996
17 0.821895 0.267305 10.842424
18 0.82397 0.261995 11.467378
19 0.82799 0.255091 12.07682
20 0.830459 0.248796 12.79552
21 0.831965 0.250678 13.404853
22 0.834253 0.249941 14.030191
23 0.836061 0.24003 14.63963
24 0.838793 0.243342 15.233338

Epoch & Fidelity & KL & Runtime 
1 0.464901 0.924808 0.765695
2 0.531802 0.763401 1.546977
3 0.595636 0.639453 2.297035
4 0.648348 0.525214 3.062607
5 0.696431 0.428296 3.828284
6 0.735955 0.367499 4.578337
7 0.762076 0.329454 5.328388
8 0.780238 0.304019 6.093961
9 0.791174 0.287951 6.859641
10 0.804978 0.274927 7.594074
11 0.811124 0.264428 8.359756
12 0.815693 0.255728 9.125326
13 0.823647 0.249188 9.891001
14 0.827898 0.241986 10.625443
15 0.832206 0.237482 11.375498
16 0.83675 0.229218 12.141068
17 0.839709 0.224319 12.906756
18 0.843837 0.215844 13.67245
19 0.848339 0.210637 14.422395
20 0.851092 0.205042 15.20359

