Optimizers: SGD Adam 
Learning Rates: 0.001 0.01 
Epoch & Fidelity & KL & Runtime 
1 0.975914 0.049043 0.796818
2 0.993822 0.012686 1.562391
3 0.997627 0.005042 2.374837
4 0.998712 0.002868 3.202902
5 0.998819 0.002654 3.999722
6 0.998906 0.002481 4.780921
7 0.998973 0.002348 5.562113
8 0.998981 0.002331 6.327685
9 0.998998 0.002297 7.124505
10 0.998992 0.002309 7.89008
11 0.999005 0.002287 8.671275
12 0.99904 0.002216 9.436846
13 0.999017 0.002264 10.233668
14 0.99903 0.002237 11.01486
15 0.999081 0.002136 11.79606
16 0.999094 0.002111 12.561632
17 0.999071 0.002155 13.342825
18 0.99907 0.002159 14.155287
19 0.99907 0.002158 14.95209
20 0.999091 0.002119 15.780155

Epoch & Fidelity & KL & Runtime 
1 0.997521 0.005209 1.062427
2 0.995776 0.008833 1.937367
3 0.998843 0.00262 2.827929
4 0.998604 0.003112 3.73412
5 0.998191 0.003932 4.593436
6 0.99645 0.007424 5.468374
7 0.998525 0.003269 6.327688
8 0.99918 0.001949 7.187007
9 0.998649 0.002998 8.093189
10 0.998682 0.002944 8.983756
11 0.999128 0.002056 9.843071
12 0.998811 0.002671 10.733633
13 0.999396 0.001517 11.639819
14 0.999192 0.00193 12.499135
15 0.999424 0.001463 13.374074
16 0.999308 0.001684 14.264639
17 0.99851 0.003293 15.123957

