Optimizer is NAG

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.155254 9.882064
2 0.209696 19.822699
3 0.254286 29.712649
4 0.290481 39.713775
5 0.319964 49.624397
6 0.346189 59.535164
7 0.367857 69.393721
8 0.386246 79.411093
9 0.402705 89.410843
10 0.418107 99.300533
11 0.432267 109.321064
12 0.44664 119.180844
13 0.461528 129.102667
14 0.475812 139.145594
15 0.488653 149.164102
16 0.499736 159.029882
17 0.510628 168.997286
18 0.518765 178.949906
19 0.528049 188.971313
20 0.534265 199.029587
21 0.540718 209.026971
22 0.545957 218.901587
23 0.551448 228.841928
24 0.555367 238.841614
25 0.56079 248.739442
26 0.563813 258.616168
27 0.56815 268.660188
28 0.57148 278.647814
29 0.575118 288.590525
30 0.577119 298.540825
31 0.58091 308.516809

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.424188 9.885812
2 0.544064 19.765287
3 0.575505 29.703615
4 0.607611 39.615207
5 0.643075 49.500516
6 0.676342 59.4028
7 0.699287 69.287442
8 0.722944 79.244409
9 0.741138 89.183357
10 0.756024 99.094129
11 0.779318 109.057356
12 0.783425 118.928782
13 0.795365 128.871414
14 0.810039 138.825184
15 0.796008 148.748922
16 0.816914 158.679485
17 0.819409 168.765178
18 0.829068 178.64875
19 0.839837 188.697407
20 0.83102 198.656855
21 0.835455 208.548795
22 0.845728 218.43785
23 0.829392 228.464634
24 0.846654 238.406669
25 0.854239 248.418158
26 0.855079 258.301606
27 0.850444 268.279097
28 0.8567 278.313419
29 0.851854 288.269695
30 0.852307 298.250825
31 0.860075 308.286075

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.71136 10.497344
2 0.793316 20.337081
3 0.816951 30.289181
4 0.739716 40.292308
5 0.781906 50.345529
6 0.822629 60.262002
7 0.859497 70.189629
8 0.673274 80.252216
9 0.716723 90.316206
10 0.877856 100.244401
11 0.863629 110.20639
12 0.811808 120.161811
13 0.829041 130.118616
14 0.790215 140.105741
15 0.787868 150.042809
16 0.750868 159.979991
17 0.793201 170.029245
18 0.850773 180.045249
19 0.839171 190.016913
20 0.782447 200.006733
21 0.80166 209.997613
22 0.783857 219.974021
23 0.769817 229.95731
24 0.802243 239.932025
25 0.768467 250.015651
26 0.697679 259.920661
27 0.725267 269.889723
28 0.706186 279.943276
29 0.790242 289.982181
30 0.742187 300.096427

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.321879 10.548116
2 0.198538 20.489951
3 0.168501 30.422179
4 0.116631 40.446048
5 0.262589 50.490054
6 0.191123 60.512794
7 0.16922 70.481746
8 0.264576 80.52583
9 0.263288 90.40648
10 0.213757 100.400501
11 0.113075 110.375738
12 0.152145 120.364437
13 0.248081 130.450008
14 0.216305 140.446099
15 0.175321 150.457381
16 0.118877 160.477947
17 0.162366 170.556425
18 0.203082 180.52506
19 0.103257 190.478035
20 0.00769 200.550432
21 0.005726 210.584168
22 0.054063 220.612671
23 0.019907 230.687683
24 0.018085 240.704586
25 0.006533 250.691882
26 0.024651 260.797189
27 0.186954 270.887634
28 0.039068 280.861417
29 0.012158 290.823543
30 0.004871 300.873836

LR is 1
Epoch & Fidelity & Runtime 
1 0.059293 10.564995
2 0.068423 20.48728
3 0.0353 30.399124
4 0.046596 40.455011
5 0.048342 50.456552
6 0.046009 60.393094
7 0.044698 70.348683
8 0.074557 80.322182
9 0.051878 90.320846
10 0.048806 100.42538
11 0.047386 110.410338
12 0.048781 120.361309
13 0.043269 130.343384
14 0.051322 140.438025
15 0.067665 150.344407
16 0.066041 160.40477
17 0.069231 170.359691
18 0.061992 180.267694
19 0.067727 190.364174
20 0.053435 200.402192
21 0.064445 210.437315
22 0.053709 220.379758
23 0.053291 230.388856
24 0.048068 240.442798
25 0.06152 250.423413
26 0.056415 260.405891
27 0.046295 270.384279
28 0.074735 280.356458
29 0.064661 290.409413
30 0.040221 300.341415

