Optimizer is SGDM

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.128874 6.986787
2 0.193287 13.986982
3 0.23424 21.0866
4 0.266108 28.096795
5 0.29514 35.071832
6 0.322389 42.054741
7 0.349359 49.075332
8 0.373113 56.114043
9 0.394378 63.21669
10 0.41476 70.231982
11 0.432895 77.298276
12 0.451262 84.377206
13 0.470048 91.356391
14 0.485858 98.413846
15 0.500016 105.492853
16 0.509972 112.464022
17 0.52087 119.463808
18 0.530121 126.423247
19 0.536574 133.482721
20 0.543674 140.435734
21 0.548013 147.398672
22 0.55338 154.525744
23 0.557249 161.529773
24 0.562232 168.678574
25 0.565117 175.685662
26 0.568703 182.693278
27 0.571637 189.679861
28 0.57626 196.80241
29 0.579479 203.81383
30 0.58223 210.839094
31 0.584714 217.821863
32 0.587115 224.939164
33 0.589824 231.989678
34 0.594437 238.990075
35 0.598025 246.053059
36 0.601008 253.183792
37 0.604586 260.224065
38 0.605798 267.145605
39 0.610073 274.239978
40 0.611259 281.249409
41 0.6167 288.264811
42 0.619459 295.254611
43 0.624095 302.417862

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.419516 6.917513
2 0.535375 13.842556
3 0.579555 20.882883
4 0.612921 27.870329
5 0.645778 34.924958
6 0.67205 41.938486
7 0.707472 48.977771
8 0.705186 55.998807
9 0.726476 62.986875
10 0.747743 70.084758
11 0.745672 77.109878
12 0.771227 84.153422
13 0.771459 91.208398
14 0.794325 98.310186
15 0.788787 105.311053
16 0.801275 112.401574
17 0.795069 119.455768
18 0.808941 126.52897
19 0.820168 133.685846
20 0.781758 140.835351
21 0.820419 147.918873
22 0.816993 154.927353
23 0.815805 162.030591
24 0.819821 168.996176
25 0.808559 176.036093
26 0.831291 183.097198
27 0.807682 190.11568
28 0.812101 197.100605
29 0.838673 204.22045
30 0.839347 211.25228
31 0.797662 218.336973
32 0.81004 225.383322
33 0.825118 232.437327
34 0.823596 239.592483
35 0.830419 246.737268
36 0.770624 253.728798
37 0.814131 260.703679
38 0.823345 267.759558
39 0.834492 274.823247
40 0.812327 281.933341
41 0.806544 289.029531
42 0.7839 296.101032
43 0.806776 303.105825

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.722759 7.056761
2 0.7403 14.009828
3 0.750546 21.047308
4 0.762068 28.028229
5 0.732358 35.194589
6 0.763277 42.336098
7 0.725373 49.438023
8 0.715177 56.473573
9 0.728675 63.56752
10 0.709911 70.551273
11 0.664458 77.659749
12 0.750618 84.645981
13 0.527777 91.637239
14 0.56416 98.707734
15 0.660506 105.726757
16 0.537823 112.805333
17 0.633469 119.953256
18 0.720819 127.026417
19 0.566933 134.17932
20 0.737885 141.284415
21 0.735474 148.299112
22 0.687107 155.391809
23 0.535168 162.471017
24 0.662199 169.592876
25 0.466617 176.600923
26 0.472087 183.708324
27 0.680136 190.74992
28 0.573627 197.844826
29 0.647574 204.92874
30 0.604762 212.134881
31 0.593891 219.315136
32 0.614905 226.392859
33 0.616396 233.627024
34 0.611468 240.605632
35 0.558181 247.633858
36 0.502483 254.707772
37 0.535379 261.782127
38 0.595424 268.80797
39 0.614039 275.904557
40 0.563367 282.921656
41 0.64442 290.132229
42 0.616887 297.188815
43 0.612244 304.296971

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.510717 6.973875
2 0.480575 14.023321
3 0.350025 20.986313
4 0.227391 28.088487
5 0.485872 35.080302
6 0.572619 42.296995
7 0.423618 49.309312
8 0.490016 56.379737
9 0.183509 63.483232
10 0.171162 70.535571
11 0.14543 77.516148
12 0.431936 84.489032
13 0.28042 91.666098
14 0.406492 98.713653
15 0.582591 105.768296
16 0.393495 112.907298
17 0.367154 120.108196
18 0.320417 127.042609
19 0.221083 134.084476
20 0.421948 141.090604
21 0.390682 148.156018
22 0.270587 155.112283
23 0.406969 162.208507
24 0.483274 169.351093
25 0.315674 176.487525
26 0.204936 183.489993
27 0.50803 190.704088
28 0.178493 197.874825
29 0.33707 204.915736
30 0.160007 211.970221
31 0.239669 218.967334
32 0.356773 226.064174
33 0.315452 233.197386
34 0.163819 240.251696
35 0.179893 247.216614
36 0.325711 254.292606
37 0.089574 261.343882
38 0.305406 268.418191
39 0.397321 275.410384
40 0.571676 282.567049
41 0.402028 289.532344
42 0.334537 296.706041
43 0.354543 303.824663

LR is 1
Epoch & Fidelity & Runtime 
1 0.047835 7.062538
2 0.054776 14.002529
3 0.020956 21.051133
4 0.057135 28.055705
5 0.046763 35.312748
6 0.030761 42.258725
7 0.02186 49.429276
8 0.028367 56.485488
9 0.04125 63.491035
10 0.027574 70.596547
11 0.048093 77.620915
12 0.049813 84.823287
13 0.064199 91.97656
14 0.059209 98.997483
15 0.044691 106.027006
16 0.034986 113.243328
17 0.05067 120.263209
18 0.032813 127.463976
19 0.031447 134.493008
20 0.061141 141.569992
21 0.03776 148.55813
22 0.043294 155.642566
23 0.038118 162.669646
24 0.030586 169.731476
25 0.051685 176.732591
26 0.047793 183.767512
27 0.030091 190.892055
28 0.041033 198.036295
29 0.028711 205.162223
30 0.046045 212.13742
31 0.013274 219.160749
32 0.041216 226.159217
33 0.037987 233.30203
34 0.014823 240.324011
35 0.055669 247.480039
36 0.061391 254.501797
37 0.026955 261.56807
38 0.034997 268.581745
39 0.018525 275.643081
40 0.049251 282.688388
41 0.036483 289.793288
42 0.019899 296.868998
43 0.0425 303.879269

