Optimizer is Adam

LR is 1e-06
Epoch & Fidelity & Runtime 
1 0.051988 34.177201
2 0.053636 68.314061
3 0.055051 102.573082
4 0.056275 136.694765
5 0.057326 170.876636
6 0.058209 205.202067
7 0.058981 239.802561
8 0.059647 274.049219
9 0.060229 308.402496
10 0.060743 343.078295
11 0.061198 377.478717
12 0.061608 412.242026
13 0.061977 447.104293
14 0.062311 481.668045
15 0.062616 516.301493
16 0.06291 551.438347
17 0.063182 586.119165
18 0.063442 620.761708
19 0.063692 655.792085
20 0.063936 690.938433
21 0.064173 725.768846
22 0.064404 761.00799
23 0.064634 795.823689
24 0.064868 830.635246

LR is 1e-05
Epoch & Fidelity & Runtime 
1 0.062613 33.488784
2 0.066733 66.94031
3 0.069643 100.351638
4 0.072748 134.568337
5 0.076288 168.053029
6 0.080407 202.028795
7 0.085043 235.840617
8 0.090172 269.952836
9 0.095741 303.875169
10 0.101565 337.368191
11 0.107513 370.813313
12 0.113445 405.010963
13 0.119288 439.998384
14 0.124829 474.952635
15 0.130298 510.28622
16 0.135684 545.614632
17 0.140825 581.492245
18 0.145995 616.899595
19 0.150922 651.914855
20 0.155867 686.967818
21 0.160743 722.967447
22 0.165595 758.148613
23 0.17037 793.200448
24 0.174925 828.886271

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.101894 35.242718
2 0.149584 69.380477
3 0.1893 103.611219
4 0.222327 137.217291
5 0.251493 171.413796
6 0.27753 205.551935
7 0.300663 239.998089
8 0.319933 274.107995
9 0.338383 308.406158
10 0.35409 342.849269
11 0.369867 376.846171
12 0.384026 411.071968
13 0.397636 446.641744
14 0.41098 482.256298
15 0.422729 518.149004
16 0.436862 553.357598
17 0.447437 588.640349
18 0.459487 625.01387
19 0.469256 660.254878
20 0.478588 695.511254
21 0.488292 731.299384
22 0.498577 767.101745
23 0.505605 802.96776

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.379132 35.679997
2 0.522344 69.674368
3 0.576374 104.890429
4 0.595292 138.846779
5 0.606939 172.825372
6 0.575197 206.766059
7 0.586047 242.419617
8 0.654287 276.934445
9 0.522911 311.870719
10 0.490444 347.377703
11 0.550729 381.809217
12 0.476869 418.515546
13 0.397063 454.597619
14 0.440779 489.98101
15 0.443825 526.670604
16 0.437783 562.505761
17 0.43889 599.407201
18 0.467531 636.270193
19 0.450039 673.239201
20 0.34986 710.259744
21 0.337226 746.555146
22 0.331995 783.641293
23 0.281514 819.998255

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.580778 35.683402
2 0.19514 71.229694
3 0.283435 105.725862
4 0.119059 141.083369
5 0.096365 176.361787
6 0.161887 211.736871
7 0.090337 247.018733
8 0.024077 284.457272
9 0.015905 321.192276
10 0.010669 356.609231
11 0.042527 392.48481
12 0.035558 430.239339
13 0.010198 467.924155
14 0.009857 506.007181
15 0.008454 543.296124
16 0.022691 581.57339
17 0.023012 618.764089
18 0.014565 656.865807
19 0.00496 694.731683
20 0.019154 733.122421
21 0.056019 771.49038
22 0.027156 809.927421

