Optimizer is SGD

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.062544 33.098023
2 0.066306 65.816572
3 0.071074 98.56694
4 0.077527 131.596735
5 0.085698 164.642034
6 0.095165 197.678125
7 0.104952 230.735331
8 0.114464 263.631571
9 0.123424 296.640336
10 0.131957 329.418582
11 0.140417 362.213507
12 0.14863 395.026189
13 0.15679 428.194221
14 0.164737 461.635136
15 0.172082 494.797047
16 0.179408 527.869566
17 0.186475 560.988623
18 0.192939 594.04936
19 0.199049 627.447685
20 0.205093 660.912702
21 0.210431 694.07874
22 0.215649 727.63585
23 0.220812 760.785331
24 0.226178 794.394785
25 0.231015 827.52897

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.135522 31.878834
2 0.204415 64.103869
3 0.256434 96.503408
4 0.298122 128.441169
5 0.332293 160.795913
6 0.362286 192.835585
7 0.387472 225.869045
8 0.410524 258.845794
9 0.429408 291.183621
10 0.449877 323.189323
11 0.464063 355.180751
12 0.478662 387.163926
13 0.485862 419.867577
14 0.501021 453.900915
15 0.51032 487.110535
16 0.51827 520.326995
17 0.525811 553.548264
18 0.533024 586.74048
19 0.541123 620.784535
20 0.546932 654.039526
21 0.552757 687.327129
22 0.560515 720.737131
23 0.566557 755.003533
24 0.573194 788.391297
25 0.579273 821.85162

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.418982 33.601932
2 0.53712 66.335243
3 0.605553 98.55524
4 0.666923 130.749815
5 0.706496 162.87698
6 0.739398 195.521868
7 0.771861 228.932991
8 0.794973 261.280447
9 0.80483 293.312196
10 0.811221 325.786074
11 0.840876 358.733142
12 0.813901 391.213265
13 0.853594 424.646587
14 0.850056 457.926788
15 0.860401 491.242572
16 0.864028 525.121236
17 0.850708 559.126956
18 0.856321 592.544115
19 0.884225 626.147653
20 0.861596 660.313342
21 0.891964 694.476773
22 0.883842 728.214677
23 0.878788 761.886884
24 0.90163 795.510182
25 0.842581 830.553898

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.675247 33.201923
2 0.719295 65.496574
3 0.742021 98.876512
4 0.724052 131.08934
5 0.746386 163.233158
6 0.685964 195.479792
7 0.773499 227.680501
8 0.662485 261.28165
9 0.757395 294.23774
10 0.760144 327.727905
11 0.619874 360.15094
12 0.68846 393.257304
13 0.704713 426.382512
14 0.690066 460.482644
15 0.737774 493.971519
16 0.632074 527.564778
17 0.753078 561.991455
18 0.718717 596.672299
19 0.758227 630.385067
20 0.702196 664.286495
21 0.833933 699.671329
22 0.829494 734.174551
23 0.813634 768.718302
24 0.762247 804.951818

LR is 1
Epoch & Fidelity & Runtime 
1 0.108378 35.08037
2 0.222835 69.095399
3 0.079802 102.125944
4 0.208801 135.105858
5 0.171775 168.862132
6 0.214423 201.849272
7 0.088462 236.276364
8 0.295676 270.472841
9 0.186393 304.255952
10 0.385838 339.793052
11 0.064416 374.008546
12 0.087096 407.484955
13 0.122478 443.007154
14 0.195768 478.606188
15 0.156832 513.453609
16 0.208132 549.12264
17 0.156754 584.03141
18 0.29465 619.877738
19 0.2233 656.888129
20 0.107358 691.822217
21 0.198252 726.966757
22 0.069843 762.685298
23 0.207258 797.786734
24 0.280698 834.060681

