Batch Sizes: 16 32 
Epoch & Fidelity & KL & Runtime 
1 0.997395 0.005501 0.579037
2 0.998392 0.003534 1.157124
3 0.998684 0.002933 1.750833
4 0.998769 0.002768 2.328916
5 0.998994 0.002332 2.907001
6 0.999207 0.001909 3.453842
7 0.998859 0.002579 4.016302
8 0.998904 0.002508 4.594384
9 0.998661 0.002978 5.156845
10 0.998905 0.002492 5.719307
11 0.999455 0.001404 6.28177
12 0.999191 0.001941 6.875476
13 0.998812 0.002689 7.422314
14 0.999005 0.002318 7.984775
15 0.999245 0.001832 8.547236
16 0.998037 0.004202 9.125322
17 0.999617 0.001085 9.687782
18 0.999167 0.001972 10.250244
19 0.999527 0.00127 10.797083
20 0.999043 0.002229 11.43766
21 0.999287 0.001751 12.000123
22 0.998404 0.0035 12.546958
23 0.999589 0.001143 13.125047
24 0.999057 0.002202 13.687507
25 0.999471 0.001384 14.225328
26 0.9994 0.001516 14.787789
27 0.999366 0.001583 15.365874

Epoch & Fidelity & KL & Runtime 
1 0.998239 0.003818 0.312477
2 0.998871 0.002565 0.64058
3 0.998823 0.002658 0.937433
4 0.99909 0.002139 1.249929
5 0.99902 0.002274 1.562391
6 0.999233 0.001853 1.859243
7 0.999306 0.001704 2.171723
8 0.999124 0.002069 2.468578
9 0.999152 0.002006 2.781056
10 0.999173 0.00197 3.093532
11 0.99913 0.002063 3.390387
12 0.999343 0.001634 3.718492
13 0.999069 0.002172 4.015346
14 0.999304 0.001713 4.312199
15 0.999298 0.001717 4.624679
16 0.999433 0.00145 4.952781
17 0.99907 0.002167 5.249633
18 0.999546 0.001227 5.546487
19 0.999666 0.000987 5.858968
20 0.999642 0.001036 6.15582
21 0.999067 0.002187 6.468299
22 0.999657 0.001004 6.749529
23 0.999555 0.001204 7.062008
24 0.999616 0.001086 7.358862
25 0.999574 0.001169 7.67134
26 0.999526 0.001264 7.968198
27 0.999511 0.001292 8.280674
28 0.999396 0.001521 8.57753
29 0.999524 0.001267 8.874382
30 0.999493 0.001327 9.186861
31 0.999432 0.001451 9.499338
32 0.999364 0.001581 9.796194
33 0.999584 0.001148 10.077424
34 0.999792 0.000734 10.37428
35 0.99931 0.001695 10.68676
36 0.99948 0.00135 10.983614
37 0.999559 0.0012 11.280469
38 0.999731 0.000857 11.608567
39 0.999697 0.000924 11.921048
40 0.999465 0.00138 12.233526
41 0.999781 0.000755 12.546003
42 0.999757 0.000805 12.858482
43 0.999749 0.000819 13.155339
44 0.999747 0.000823 13.452197
45 0.999438 0.001432 13.76467
46 0.999494 0.001328 14.077149
47 0.999726 0.000868 14.389624
48 0.999685 0.000944 14.702104
49 0.999641 0.001033 15.014581

