Learning Rates: 0.001 0.01 
Epoch & Fidelity & KL & Runtime 
1 0.983006 0.034348 0.812438
2 0.995138 0.010005 1.609257
3 0.99776 0.004771 2.406078
4 0.998387 0.00352 3.187275
5 0.998487 0.003318 3.960375
6 0.998614 0.003067 4.772838
7 0.998577 0.003137 5.554017
8 0.998591 0.00311 6.33521
9 0.998617 0.003058 7.116406
10 0.998671 0.002951 7.913245
11 0.99871 0.002876 8.694425
12 0.998744 0.002811 9.522489
13 0.99878 0.002741 10.334952
14 0.998744 0.002809 11.147379
15 0.998707 0.002884 11.928573
16 0.998621 0.003049 12.709769
17 0.998729 0.002838 13.475343
18 0.998753 0.002792 14.287784
19 0.998715 0.002867 15.053359

Epoch & Fidelity & KL & Runtime 
1 0.99929 0.001746 0.781196
2 0.99892 0.002483 1.578013
3 0.998747 0.002819 2.390476
4 0.99919 0.001936 3.171653
5 0.999261 0.001794 3.9841
6 0.999351 0.001617 4.765292
7 0.998313 0.003726 5.530868
8 0.998924 0.002463 6.327686
9 0.999382 0.001553 7.124504
10 0.999584 0.001157 7.968195
11 0.999475 0.00137 8.765017
12 0.999271 0.001779 9.561835
13 0.999259 0.001801 10.358674
14 0.999565 0.001193 11.171098
15 0.999112 0.00211 11.983544
16 0.998982 0.002345 12.780381
17 0.999609 0.001105 13.577185
18 0.99917 0.001973 14.389625
19 0.999114 0.002091 15.217693

