Learning rate is 0.1

Optimizer is Adadelta
Epoch & Fidelity & Runtime 
1 0.088431 1.274338
2 0.095082 2.543327
3 0.102372 3.807805
4 0.112557 5.072451
5 0.125358 6.33475
6 0.13848 7.60198
7 0.151582 8.863379
8 0.1626 10.130376
9 0.171639 11.393955
10 0.179911 12.656204
11 0.188032 13.928792
12 0.195173 15.195336
13 0.203578 16.456752
14 0.210049 17.719334
15 0.217498 18.980682
16 0.224559 20.247174
17 0.231231 21.50949
18 0.237262 22.774867
19 0.24378 24.034303
20 0.249829 25.301513
21 0.256172 26.562281
22 0.262303 27.823411
23 0.268073 29.104734
24 0.274918 30.365777
25 0.281754 31.626346
26 0.287755 32.889183
27 0.293952 34.147017
28 0.300191 35.406163
29 0.30713 36.696778
30 0.31429 37.961169
31 0.32044 39.225024
32 0.328301 40.492714
33 0.335613 41.760689
34 0.341522 43.025909
35 0.350161 44.314973
36 0.358165 45.580772
37 0.366097 46.846912
38 0.372333 48.114213
39 0.3785 49.384211
40 0.384962 50.654233
41 0.392494 51.925557
42 0.399061 53.193739
43 0.4062 54.462024
44 0.412946 55.731233
45 0.418084 57.001752
46 0.424347 58.303694
47 0.430489 59.571503
48 0.435073 60.841632
49 0.440921 62.112485
50 0.445418 63.383893
51 0.450053 64.652941
52 0.455115 65.923864
53 0.460486 67.194965
54 0.46459 68.465193
55 0.468228 69.734701
56 0.472508 71.00288
57 0.477733 72.272853
58 0.482035 73.579763
59 0.48521 74.847677
60 0.488316 76.122054
61 0.491234 77.390896
62 0.495429 78.661019
63 0.498537 79.924687
64 0.501986 81.233305
65 0.505287 82.498475
66 0.507813 83.762803
67 0.510502 85.030027
68 0.513211 86.301305
69 0.515377 87.567439
70 0.517716 88.875855
71 0.520794 90.141702
72 0.522578 91.410635
73 0.524832 92.67593
74 0.527503 93.941803
75 0.529391 95.206392
76 0.531569 96.471661
77 0.53288 97.735936
78 0.535456 98.999226
79 0.537479 100.261626
80 0.537928 101.523589
81 0.539563 102.787787
82 0.541662 104.103594
83 0.543113 105.367472
84 0.543755 106.633824
85 0.544639 107.900898
86 0.547205 109.164408
87 0.547996 110.426222
88 0.549315 111.690422
89 0.550572 112.95756
90 0.552355 114.222839
91 0.553536 115.486636
92 0.553149 116.752139
93 0.55555 118.015731
94 0.556638 119.334603
95 0.55716 120.620457
96 0.558068 121.88662
97 0.55938 123.149737
98 0.5599 124.413455
99 0.560614 125.680782
100 0.560861 126.945542
101 0.562465 128.208528
102 0.564026 129.476311
103 0.564487 130.740895
104 0.565969 132.009145
105 0.566261 133.332229
106 0.567071 134.599964
107 0.567567 135.865417
108 0.569551 137.131926
109 0.570608 138.398114
110 0.570892 139.664955
111 0.57329 140.927947
112 0.573561 142.193287
113 0.573659 143.460152
114 0.575101 144.725396
115 0.575946 145.987177
116 0.576426 147.256607
117 0.577558 148.583655
118 0.578082 149.84743
119 0.579025 151.11821
120 0.580368 152.381723
121 0.580745 153.644566
122 0.580272 154.910541
123 0.581788 156.176199
124 0.582306 157.442595
125 0.581837 158.712591
126 0.58308 159.979307
127 0.583201 161.245309
128 0.582775 162.510504
129 0.583032 163.840294
130 0.582377 165.105395
131 0.585412 166.371016
132 0.584681 167.634038
133 0.587128 168.899052
134 0.587086 170.164877
135 0.589088 171.429135
136 0.590363 172.691944
137 0.592429 173.959993
138 0.593224 175.223337
139 0.592027 176.485049
140 0.591529 177.750912
141 0.594439 179.091766
142 0.597583 180.356412
143 0.59815 181.624293
144 0.599049 182.889648
145 0.599395 184.154411
146 0.600591 185.418446
147 0.60148 186.683886
148 0.604503 187.948235
149 0.605802 189.213941
150 0.605314 190.481388
151 0.606261 191.744609
152 0.604971 193.007657
153 0.60693 194.355099
154 0.608109 195.624876
155 0.610419 196.890615
156 0.612289 198.155288
157 0.611159 199.422564
158 0.613847 200.687967
159 0.612064 201.955492
160 0.615344 203.223133
161 0.6147 204.488735
162 0.61678 205.768907
163 0.619558 207.037775
164 0.619369 208.388446
165 0.622346 209.655018
166 0.623485 210.922513
167 0.623114 212.274257
168 0.623859 213.539752
169 0.625644 214.805686
170 0.626159 216.069495
171 0.627533 217.336885
172 0.629019 218.599935
173 0.632558 219.864371
174 0.633724 221.132011
175 0.635349 222.397632
176 0.635475 223.748652
177 0.636454 225.017487
178 0.636976 226.281271
179 0.638906 227.545394
180 0.638198 228.808775
181 0.640046 230.079673
182 0.642519 231.34333
183 0.643664 232.606669
184 0.64575 233.872399
185 0.647533 235.13664
186 0.646852 236.400953
187 0.648167 237.665538
188 0.650322 239.02562
189 0.651311 240.290285
190 0.652016 241.555507
191 0.653595 242.824918
192 0.654665 244.089824
193 0.657366 245.353542
194 0.658644 246.616971
195 0.660984 247.885061
196 0.661891 249.146556
197 0.662755 250.414651
198 0.663482 251.682198
199 0.66421 252.947534
200 0.664376 254.313445
201 0.666694 255.580734
202 0.667884 256.843947
203 0.667958 258.109441
204 0.669304 259.373795
205 0.670513 260.640402
206 0.671766 261.905175
207 0.673704 263.169888
208 0.674049 264.434559
209 0.674834 265.698541
210 0.676699 266.961658
211 0.678113 268.226334
212 0.678903 269.59421
213 0.681164 270.859747
214 0.682714 272.122108
215 0.682404 273.390038
216 0.684733 274.653744
217 0.685341 275.918636
218 0.685633 277.183586
219 0.685976 278.448711
220 0.688123 279.713084
221 0.68917 280.981811
222 0.689127 282.248146
223 0.689088 283.619125
224 0.690014 284.883067
225 0.690184 286.148686
226 0.691364 287.41301
227 0.692704 288.678246
228 0.694351 289.954743
229 0.693204 291.225116
230 0.693103 292.490089
231 0.691076 293.756423
232 0.690494 295.024196
233 0.695756 296.292254
234 0.69603 297.556161
235 0.696799 298.926379
236 0.698892 300.194629

Optimizer is Adam
Epoch & Fidelity & Runtime 
1 0.498742 1.227896
2 0.533058 2.430661
3 0.262591 3.628275
4 0.223358 4.828022
5 0.228079 6.138251
6 0.312903 7.336325
7 0.221578 8.554998
8 0.13588 9.754038
9 0.155334 10.953558
10 0.089854 12.156025
11 0.048952 13.358703
12 0.246536 14.561951
13 0.124513 15.761698
14 0.168659 16.960554
15 0.167585 18.161671
16 0.082413 19.361802
17 0.019576 20.561425
18 0.284555 21.872922
19 0.010491 23.071794
20 0.008574 24.274813
21 0.017451 25.478296
22 0.004752 26.681116
23 0.006585 27.888872
24 0.003784 29.122921
25 0.0795 30.355623
26 0.057509 31.587404
27 0.011215 32.818943
28 0.222838 34.050712
29 0.158978 35.279625
30 0.000405 36.616287
31 0.000511 37.849128
32 0.093865 39.082049
33 0.000162 40.313126
34 0.038287 41.546303
35 0.039223 42.779681
36 0.00214 43.996742
37 0.025008 45.227151
38 0.000288 46.460285
39 5.2e-05 47.691626
40 0.002276 48.921296
41 0.007095 50.15141
42 0.001362 51.490785
43 4.4e-05 52.693647
44 0.000116 53.918274
45 3.4e-05 55.118421
46 9.2e-05 56.32807
47 3.4e-05 57.558163
48 1.3e-05 58.789077
49 0.000734 60.017126
50 0.000263 61.244328
51 0.000287 62.47789
52 0.000576 63.704772
53 1.8e-05 64.934673
54 0.000101 66.270234
55 0.004634 67.497207
56 0.000399 68.724815
57 0.000159 69.952495
58 6.5e-05 71.180005
59 9e-05 72.515307
60 7.1e-05 73.740654
61 9.5e-05 74.969652
62 8.9e-05 76.198211
63 8.1e-05 77.426905
64 7.8e-05 78.655172
65 0.002942 79.881818
66 0.00235 81.220956
67 0.002542 82.45199
68 0.005089 83.684057
69 0.024614 84.915692
70 0.019082 86.147939
71 0.018195 87.377531
72 0.021857 88.604353
73 0.006108 89.830902
74 0.006876 91.062424
75 0.028841 92.291718
76 0.000707 93.521121
77 0.002563 94.748215
78 0.008889 96.07007
79 0.030205 97.311072
80 0.000588 98.541469
81 0.007786 99.769214
82 0.000371 100.994205
83 0.000289 102.224209
84 0.000324 103.452382
85 0.00045 104.683155
86 1.7e-05 105.912609
87 1.8e-05 107.141057
88 0.0001 108.370466
89 0.001312 109.596074
90 0.000156 110.824667
91 0.000557 112.159288
92 0.055229 113.388986
93 0.008055 114.616191
94 0.06038 115.842506
95 0.015036 117.069892
96 0.006106 118.30064
97 0.011463 119.530172
98 0.042918 120.757512
99 0.061107 121.985814
100 0.074214 123.215102
101 0.017837 124.440139
102 0.008865 125.668463
103 0.014106 127.006854
104 0.018115 128.238203
105 0.011669 129.466531
106 0.031661 130.694244
107 0.065505 131.92318
108 0.035427 133.153319
109 0.035262 134.381409
110 0.03678 135.638469
111 0.056015 136.871802
112 0.055536 138.105219
113 0.043125 139.336861
114 0.019801 140.572328
115 0.072078 141.911971
116 0.01925 143.142037
117 0.047069 144.37108
118 0.026005 145.6001
119 0.003371 146.83411
120 0.011279 148.073521
121 0.00228 149.313213
122 0.00775 150.560277
123 0.001476 151.804149
124 0.011712 153.047637
125 0.029053 154.291975
126 0.010289 155.536049
127 0.020506 156.887023
128 0.034721 158.131254
129 0.020926 159.374242
130 0.025677 160.617479
131 0.002264 161.859766
132 0.000793 163.103593
133 0.000128 164.345874
134 0.006296 165.587478
135 0.000211 166.830081
136 0.0 168.07518
137 0.025742 169.316666
138 0.000123 170.561716
139 8.2e-05 171.91849
140 0.000203 173.161147
141 0.000131 174.407511
142 1.7e-05 175.649866
143 0.000213 176.896389
144 0.006024 178.139142
145 0.011675 179.38107
146 0.010425 180.626445
147 0.011415 181.871675
148 8.5e-05 183.117512
149 0.012055 184.363758
150 2.5e-05 185.605777
151 9e-06 186.968835
152 9e-06 188.213065
153 2.2e-05 189.458865
154 0.031442 190.699784
155 0.000399 191.941936
156 0.000141 193.188505
157 1.9e-05 194.429694
158 0.013389 195.67207
159 0.015863 196.914626
160 0.003643 198.156114
161 0.006482 199.399318
162 0.001449 200.64055
163 0.002047 202.001725
164 0.011493 203.24505
165 0.006184 204.598979
166 0.003479 205.845845
167 0.002344 207.09005
168 0.005239 208.330561
169 0.00442 209.5728
170 0.000927 210.820098
171 0.015407 212.060935
172 0.008332 213.301545
173 0.023239 214.541275
174 0.000252 215.783026
175 0.000467 217.146251
176 0.0006 218.389032
177 0.001397 219.656817
178 0.000984 220.901184
179 0.000936 222.147871
180 0.00141 223.393364
181 0.001619 224.640135
182 0.002889 225.883855
183 0.00076 227.127614
184 0.001166 228.371279
185 0.000694 229.616593
186 0.000435 230.859501
187 0.000562 232.230738
188 0.00025 233.474478
189 0.001018 234.715228
190 0.022255 235.955583
191 0.005772 237.196194
192 0.039767 238.436984
193 0.028013 239.684862
194 0.003619 240.930601
195 0.00012 242.176112
196 0.000357 243.422724
197 0.005314 244.666164
198 0.008099 246.031353
199 1.7e-05 247.27601
200 0.001793 248.519612
201 0.030576 249.763125
202 6e-06 251.00653
203 0.002669 252.25136
204 0.003766 253.494478
205 0.009205 254.740016
206 0.034471 255.986087
207 0.008737 257.231008
208 0.03337 258.471628
209 0.011234 259.714969
210 0.001724 261.08108
211 2.8e-05 262.325947
212 0.008076 263.568465
213 0.010865 264.812333
214 0.006242 266.053698
215 0.004696 267.299594
216 0.008423 268.541039
217 0.005021 269.785392
218 0.007434 271.030009
219 0.00055 272.273778
220 0.029352 273.516333
221 0.035024 274.760112
222 0.02466 276.131627
223 0.006682 277.375744
224 1.4e-05 278.617557
225 5.5e-05 279.857574
226 0.000413 281.098017
227 0.000799 282.343699
228 0.003454 283.586987
229 1.4e-05 284.837337
230 0.00029 286.082181
231 0.00014 287.330358
232 4.8e-05 288.578453
233 2.6e-05 289.829756
234 2e-05 291.211559
235 0.000178 292.459298
236 0.005844 293.705207
237 0.003348 294.956156
238 0.0 296.202767
239 3e-05 297.450567
240 2e-06 298.696708
241 3e-06 299.947206
242 6e-06 301.193906

Optimizer is Adamax
Epoch & Fidelity & Runtime 
1 0.523975 1.418655
2 0.596294 2.744892
3 0.585663 4.038274
4 0.634632 5.326257
5 0.678773 6.614741
6 0.650019 7.902332
7 0.475447 9.189485
8 0.576845 10.478699
9 0.677918 11.76466
10 0.669071 13.194087
11 0.625434 14.485166
12 0.613804 15.772518
13 0.494446 17.06406
14 0.655785 18.353812
15 0.616664 19.680469
16 0.519845 20.966142
17 0.676707 22.264906
18 0.480718 23.566366
19 0.438941 24.864477
20 0.723949 26.168962
21 0.779143 27.591517
22 0.483173 28.908117
23 0.553645 30.196088
24 0.504766 31.500571
25 0.743842 32.790834
26 0.574736 34.096921
27 0.506957 35.403343
28 0.535082 36.694485
29 0.700111 38.009799
30 0.416643 39.313323
31 0.411054 40.630994
32 0.62736 41.943018
33 0.559623 43.398249
34 0.599708 44.716047
35 0.591699 46.031899
36 0.653903 47.350668
37 0.524102 48.669279
38 0.617536 49.987358
39 0.470712 51.305735
40 0.582892 52.626828
41 0.587709 53.945631
42 0.287708 55.261866
43 0.377657 56.582385
44 0.331028 58.033858
45 0.540189 59.35252
46 0.334508 60.668067
47 0.48727 61.984293
48 0.363319 63.298623
49 0.484413 64.615922
50 0.629854 65.930097
51 0.598993 67.243742
52 0.509492 68.561509
53 0.41263 69.900232
54 0.242133 71.216761
55 0.1121 72.67132
56 0.264241 73.989222
57 0.303019 75.30593
58 0.279482 76.62448
59 0.198509 77.944629
60 0.302971 79.266282
61 0.402346 80.584765
62 0.506084 81.902497
63 0.228339 83.220915
64 0.369585 84.539654
65 0.250653 85.856122
66 0.450396 87.16846
67 0.34518 88.621177
68 0.156571 89.942511
69 0.272578 91.259598
70 0.35331 92.575703
71 0.286134 93.890612
72 0.22597 95.208972
73 0.227508 96.52417
74 0.295146 97.842467
75 0.508815 99.158442
76 0.348069 100.475848
77 0.542771 101.798743
78 0.40984 103.251236
79 0.31879 104.569007
80 0.280832 105.887265
81 0.280818 107.204289
82 0.259205 108.517833
83 0.200541 109.833078
84 0.302186 111.14851
85 0.201047 112.46238
86 0.215077 113.776021
87 0.288953 115.089781
88 0.262889 116.402689
89 0.171568 117.853115
90 0.157372 119.167227
91 0.246465 120.484243
92 0.082376 121.80069
93 0.223182 123.118228
94 0.18127 124.434648
95 0.152688 125.748113
96 0.160979 127.064956
97 0.138392 128.380626
98 0.16488 129.695645
99 0.283164 131.017059
100 0.154734 132.431422
101 0.16631 133.789805
102 0.101464 135.108485
103 0.119723 136.428026
104 0.106657 137.742884
105 0.156996 139.057417
106 0.139026 140.371181
107 0.054175 141.692486
108 0.160076 143.007507
109 0.094274 144.331126
110 0.067158 145.655626
111 0.165224 146.977129
112 0.179741 148.438959
113 0.118135 149.76149
114 0.112411 151.085365
115 0.222769 152.406661
116 0.180232 153.718299
117 0.025607 155.032415
118 0.072948 156.349375
119 0.016307 157.68658
120 0.049626 159.007333
121 0.017337 160.323776
122 0.053625 161.639832
123 0.023912 163.09471
124 0.024644 164.554609
125 0.050677 165.884538
126 0.021534 167.214783
127 0.018794 168.543998
128 0.065774 169.872576
129 0.0244 171.199987
130 0.026028 172.526003
131 0.013899 173.856688
132 0.02855 175.186889
133 0.025643 176.515778
134 0.038598 177.986059
135 0.011904 179.316504
136 0.048748 180.645908
137 0.089346 181.974073
138 0.023664 183.306249
139 0.038995 184.634697
140 0.082128 185.96352
141 0.016056 187.291082
142 0.083096 188.617172
143 0.125579 189.944853
144 0.022838 191.270227
145 0.03456 192.73548
146 0.01687 194.062129
147 0.077076 195.388479
148 0.008918 196.856062
