Optimizer is NAG

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.137334 32.670067
2 0.206414 65.239207
3 0.256589 97.889434
4 0.299279 130.493635
5 0.333899 163.135964
6 0.363706 195.766205
7 0.389977 228.551604
8 0.414941 261.272652
9 0.433287 294.009986
10 0.450192 327.097553
11 0.470063 360.274015
12 0.484118 393.188117
13 0.496079 426.122282
14 0.507983 458.95919
15 0.516873 492.208125
16 0.526158 525.475365

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.456602 31.701513
2 0.560747 63.610631
3 0.641727 95.460621
4 0.703218 127.922086
5 0.740101 159.606955
6 0.755601 191.336444
7 0.798122 223.047204
8 0.801694 254.960216
9 0.834543 287.71825
10 0.836945 321.101723
11 0.836361 354.119247
12 0.840997 387.23119
13 0.850383 420.687409
14 0.807482 454.263327
15 0.846201 487.450795
16 0.814649 521.075398

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.647035 33.847684
2 0.661577 65.907483
3 0.763602 97.946855
4 0.688951 130.015658
5 0.775556 162.568553
6 0.783139 195.467141
7 0.799942 228.262149
8 0.664132 260.757849
9 0.668513 294.053801
10 0.771444 327.768053
11 0.691625 361.424881
12 0.545939 394.671772
13 0.653567 427.954681
14 0.832621 461.309152
15 0.732426 495.07741
16 0.666644 528.781448

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.185783 33.080081
2 0.158706 65.698407
3 0.127842 97.670277
4 0.319899 130.174501
5 0.233033 163.016589
6 0.038661 195.14499
7 0.206252 227.577304
8 0.166526 261.229943
9 0.112465 294.515409
10 0.407239 327.883879
11 0.2107 361.211043
12 0.231777 395.063745
13 0.303849 428.956637
14 0.059867 462.211167
15 0.142758 495.589993
16 0.073955 529.446419

LR is 1
Epoch & Fidelity & Runtime 
1 0.026529 33.143578
2 0.012118 65.331041
3 0.027333 97.96974
4 0.016562 129.978636
5 0.033621 162.522113
6 0.016729 195.47817
7 0.026348 228.519507
8 0.028954 260.710394
9 0.040377 294.981022
10 0.02405 328.392378
11 0.036852 361.830566
12 0.036453 395.259423
13 0.031083 429.346764
14 0.023561 463.480545
15 0.016886 497.066302
16 0.028822 530.557297

