Optimizer is SGDM

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.134118 33.47578
2 0.205156 66.876949
3 0.255904 100.278907
4 0.29871 133.797788
5 0.333525 167.201465
6 0.362662 200.590326
7 0.389471 233.996173
8 0.411874 267.729039
9 0.42957 301.19849
10 0.446539 334.722133
11 0.463647 368.298077
12 0.476617 402.199618
13 0.485468 435.790617
14 0.49788 469.359396
15 0.510063 503.192747

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.405108 32.377058
2 0.506361 64.673302
3 0.566535 97.294145
4 0.615867 129.742813
5 0.642538 162.390285
6 0.633141 195.252955
7 0.686966 227.507157
8 0.719774 261.164742
9 0.753032 294.881912
10 0.764629 328.894476
11 0.769313 362.606216
12 0.803942 396.338153
13 0.794742 430.288484
14 0.817331 464.49162
15 0.837822 498.167902
16 0.823791 531.986581

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.67558 33.617048
2 0.762571 66.571543
3 0.726853 98.953142
4 0.779599 131.724162
5 0.750564 164.339239
6 0.737639 196.991735
7 0.676697 230.484702
8 0.723024 263.613163
9 0.808799 297.97681
10 0.77118 332.272082
11 0.64221 366.081725
12 0.783593 399.935779
13 0.762824 433.73597
14 0.763152 467.924749
15 0.588821 501.893467

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.306854 34.194735
2 0.356434 66.698072
3 0.263162 99.227374
4 0.246917 131.734355
5 0.298318 164.566979
6 0.243886 198.089091
7 0.266251 231.432671
8 0.081035 265.577871
9 0.186221 299.723332
10 0.174612 334.630153
11 0.139999 368.810496
12 0.061401 402.948156
13 0.270762 437.191854
14 0.071086 472.090827
15 0.162989 506.83188

LR is 1
Epoch & Fidelity & Runtime 
1 0.026987 34.134923
2 0.020099 67.056888
3 0.008001 100.1611
4 0.006813 132.830482
5 0.016607 166.265184
6 0.018599 199.51793
7 0.014 233.262839
8 0.008844 267.326999
9 0.01379 302.111161
10 0.030019 336.771867
11 0.022613 371.072746
12 0.017044 406.256407
13 0.008067 440.570195
14 0.009255 474.839117
15 0.027709 509.182172

