Optimizer is Adam

LR is 1e-06
Epoch & Fidelity & Runtime 
1 0.065146 8.481924
2 0.067921 16.991132
3 0.070482 25.507177
4 0.072837 33.928497
5 0.07498 42.365229
6 0.076936 50.929107
7 0.078711 59.43857
8 0.080312 67.937695
9 0.081769 76.403889
10 0.083098 84.79076
11 0.084299 93.2662
12 0.085349 101.644363
13 0.086287 110.163031
14 0.087141 118.658305
15 0.087915 127.075951
16 0.088624 135.672132
17 0.089257 144.171299
18 0.089843 152.71997
19 0.09036 161.141214
20 0.09083 169.543664
21 0.091276 178.085704
22 0.091682 186.5112
23 0.092055 194.964108
24 0.0924 203.562566
25 0.092722 212.132949
26 0.093024 220.590623
27 0.093301 229.17661
28 0.093568 237.610923
29 0.09382 246.064682
30 0.094064 254.543388
31 0.0943 263.051455
32 0.094526 271.59942
33 0.094747 280.173284
34 0.094957 288.758077
35 0.095161 297.24379
36 0.095362 305.879353

LR is 1e-05
Epoch & Fidelity & Runtime 
1 0.090453 8.398091
2 0.094451 16.850204
3 0.096868 25.297933
4 0.099061 33.749034
5 0.101455 42.257682
6 0.104144 50.707396
7 0.107134 59.242284
8 0.110475 67.77932
9 0.11411 76.233491
10 0.118042 84.68854
11 0.122224 93.133341
12 0.126539 101.573392
13 0.130942 110.034937
14 0.135416 118.545735
15 0.139771 127.05364
16 0.144048 135.486193
17 0.148124 144.064483
18 0.152012 152.547996
19 0.155761 161.036538
20 0.159328 169.602774
21 0.162746 178.23242
22 0.166047 186.78291
23 0.16918 195.368529
24 0.172286 203.995133
25 0.175211 212.398878
26 0.178092 220.802419
27 0.180957 229.422453
28 0.183806 237.911056
29 0.186641 246.346421
30 0.189362 254.82181
31 0.192047 263.381326
32 0.194815 271.953176
33 0.197435 280.456175
34 0.200173 288.939764
35 0.202918 297.39559
36 0.205537 305.858112

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.114683 8.46452
2 0.16248 16.872126
3 0.196757 25.482209
4 0.229442 33.998093
5 0.261391 42.586585
6 0.289883 51.05506
7 0.315311 59.57646
8 0.33905 68.176686
9 0.36341 76.770069
10 0.38737 85.242761
11 0.412809 93.761382
12 0.438555 102.240415
13 0.460913 110.679813
14 0.482241 119.293518
15 0.500111 127.731333
16 0.516193 136.200606
17 0.529713 144.652972
18 0.541758 153.304368
19 0.552432 161.797378
20 0.559881 170.292413
21 0.570376 178.784681
22 0.578157 187.213029
23 0.585865 195.762779
24 0.595116 204.233126
25 0.602512 212.701114
26 0.608979 221.119673
27 0.615942 229.79172
28 0.623441 238.334432
29 0.629757 246.775436
30 0.637607 255.287474
31 0.644304 263.792251
32 0.649576 272.265158
33 0.658142 280.767997
34 0.663547 289.359258
35 0.670994 298.011526
36 0.677378 306.673562

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.389872 8.534245
2 0.536503 16.946674
3 0.590757 25.460067
4 0.622004 34.083032
5 0.690159 42.550006
6 0.716897 51.093221
7 0.748613 59.70645
8 0.747892 68.209059
9 0.741162 76.659017
10 0.739245 85.125451
11 0.731442 93.692505
12 0.682622 102.147928
13 0.689834 110.74919
14 0.697732 119.302535
15 0.567673 127.834563
16 0.466683 136.275382
17 0.452583 144.826216
18 0.398253 153.311855
19 0.322775 161.796481
20 0.293551 170.455613
21 0.240847 179.046873
22 0.27423 187.544867
23 0.274633 195.997194
24 0.287883 204.498653
25 0.250962 212.911846
26 0.243074 221.372444
27 0.142288 229.901996
28 0.145297 238.493037
29 0.152446 246.982999
30 0.126854 255.487922
31 0.120152 264.032689
32 0.140058 272.482172
33 0.141031 281.145869
34 0.113648 289.754185
35 0.102093 298.257328
36 0.071866 306.922505

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.693527 9.067199
2 0.541979 17.477982
3 0.439428 25.923035
4 0.166344 34.348049
5 0.284033 42.845009
6 0.248466 51.376152
7 0.160558 60.061764
8 0.086935 68.65918
9 0.175679 77.191948
10 0.023967 85.706746
11 0.012267 94.289074
12 0.042027 102.818352
13 0.024361 111.288188
14 0.020954 120.028028
15 0.003207 128.417657
16 0.007792 136.943938
17 0.001934 145.507883
18 0.008295 154.008433
19 0.009185 162.498133
20 0.010491 170.958527
21 0.00226 179.45823
22 0.002578 188.044079
23 0.001871 196.597363
24 0.001725 205.169632
25 0.001867 213.681684
26 0.00598 222.360473
27 0.001423 230.788345
28 0.006583 239.36128
29 0.003394 247.909492
30 0.00209 256.455279
31 0.002226 264.965086
32 0.002473 273.394587
33 0.002785 281.916341
34 0.003079 290.523002
35 0.003609 299.221525
36 0.00294 307.756501

