Optimizer is NAG

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.155688 7.284986
2 0.205147 14.605633
3 0.247705 21.863824
4 0.283139 29.268855
5 0.309946 36.639672
6 0.333876 44.005846
7 0.355634 51.310926
8 0.377257 58.781846
9 0.3987 66.219518
10 0.418483 73.56962
11 0.439753 81.019402
12 0.459127 88.324636
13 0.475532 95.676303
14 0.489629 103.165427
15 0.503282 110.596695
16 0.513652 117.928373
17 0.523196 125.336968
18 0.531541 132.736923
19 0.537334 140.160336
20 0.543975 147.583427
21 0.548582 154.977046
22 0.552442 162.267199
23 0.557223 169.651217
24 0.560108 177.116167
25 0.56264 184.482434
26 0.566341 191.765277
27 0.569023 199.228848
28 0.572385 206.70954
29 0.575506 214.04814
30 0.579569 221.388961
31 0.582391 228.812958
32 0.585844 236.215621
33 0.58805 243.573545
34 0.592362 251.008952
35 0.596254 258.377198
36 0.600859 265.859231
37 0.604401 273.331254
38 0.608621 280.698525
39 0.612546 288.162089
40 0.617898 295.508512
41 0.622308 302.966025

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.408142 7.269709
2 0.52428 14.590294
3 0.582224 21.910178
4 0.626012 29.244406
5 0.677695 36.588169
6 0.698321 44.060541
7 0.734961 51.41465
8 0.747085 58.903403
9 0.770481 66.311086
10 0.762069 73.665279
11 0.791617 81.07938
12 0.797476 88.43008
13 0.80514 95.776955
14 0.799358 103.198701
15 0.820819 110.571527
16 0.816439 117.904722
17 0.814852 125.25447
18 0.826146 132.718453
19 0.821859 140.033508
20 0.811266 147.421686
21 0.838735 154.900194
22 0.844593 162.275251
23 0.837335 169.663798
24 0.844779 177.184204
25 0.838077 184.523116
26 0.84051 192.040614
27 0.828744 199.368259
28 0.847042 206.873338
29 0.840483 214.249723
30 0.837117 221.741184
31 0.85613 229.21143
32 0.844348 236.708095
33 0.858756 244.108042
34 0.864265 251.628058
35 0.857481 258.968763
36 0.861857 266.436907
37 0.864476 273.911092
38 0.859891 281.428284
39 0.858624 288.799873
40 0.826695 296.252111
41 0.857736 303.657041

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.755392 7.976739
2 0.791429 15.28824
3 0.750548 22.696695
4 0.819882 30.14959
5 0.859798 37.576277
6 0.836294 44.879565
7 0.843362 52.273479
8 0.815085 59.641865
9 0.76248 66.995698
10 0.843375 74.359735
11 0.801372 81.837663
12 0.87076 89.164289
13 0.848679 96.566727
14 0.784553 104.077434
15 0.821812 111.558553
16 0.822167 118.914811
17 0.770448 126.326705
18 0.831172 133.70821
19 0.825515 141.087512
20 0.73507 148.440174
21 0.892256 155.835302
22 0.802682 163.346928
23 0.850232 170.745497
24 0.834118 178.139464
25 0.814513 185.621839
26 0.839833 193.061484
27 0.733053 200.46139
28 0.842703 207.798237
29 0.843845 215.258213
30 0.826832 222.710323
31 0.816143 230.179559
32 0.849267 237.654286
33 0.72488 245.206989
34 0.788466 252.676814
35 0.839887 260.203802
36 0.782501 267.646304
37 0.804286 275.2892
38 0.823854 282.661695
39 0.785629 290.118631
40 0.893762 297.505671
41 0.842407 305.002508

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.517857 7.970501
2 0.52415 15.347972
3 0.404864 22.701648
4 0.31821 30.144629
5 0.482129 37.513253
6 0.175059 45.040236
7 0.407427 52.390671
8 0.093372 59.792781
9 0.283437 67.162293
10 0.35134 74.638535
11 0.203575 81.962492
12 0.138776 89.489441
13 0.179668 96.862503
14 0.181986 104.312711
15 0.252566 111.664181
16 0.254473 119.094819
17 0.1554 126.51293
18 0.143058 133.968306
19 0.15777 141.312452
20 0.238024 148.758435
21 0.289472 156.313266
22 0.155396 163.770158
23 0.204797 171.213097
24 0.292331 178.746482
25 0.345698 186.139794
26 0.09482 193.552914
27 0.165823 200.894078
28 0.214359 208.317499
29 0.313865 215.692329
30 0.067558 223.181605
31 0.128071 230.65796
32 0.155268 238.207974
33 0.112931 245.61833
34 0.124754 253.144174
35 0.039962 260.489993
36 0.2219 267.964429
37 0.131476 275.447792
38 0.034474 283.087822
39 0.032241 290.653607
40 0.17853 298.715018
41 0.131849 306.16185

LR is 1
Epoch & Fidelity & Runtime 
1 0.07375 7.434212
2 0.031769 14.739291
3 0.071978 22.229037
4 0.06612 29.584873
5 0.048515 37.065298
6 0.046765 44.370833
7 0.064255 51.928222
8 0.077424 59.368415
9 0.054594 66.78815
10 0.044579 74.126414
11 0.06465 81.578415
12 0.050608 88.945896
13 0.053081 96.428811
14 0.068813 103.813567
15 0.051583 111.202744
16 0.063866 118.590785
17 0.056347 126.026631
18 0.051586 133.436374
19 0.061943 140.897839
20 0.039742 148.472986
21 0.049732 156.013253
22 0.044251 163.474608
23 0.067417 170.984282
24 0.071773 178.352775
25 0.076996 185.741128
26 0.047443 193.151631
27 0.080396 200.713614
28 0.042381 208.12625
29 0.064391 215.570702
30 0.069754 222.990406
31 0.059817 230.675134
32 0.067975 238.753762
33 0.046333 246.201041
34 0.062721 253.694164
35 0.043945 261.155645
36 0.069991 268.567544
37 0.066526 276.145491
38 0.044147 283.56633
39 0.036154 291.070204
40 0.049976 298.528507
41 0.066039 306.114337

