Optimizer is SGD

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.063534 33.067917
2 0.06739 66.115265
3 0.072295 99.244132
4 0.078731 132.458204
5 0.086792 165.677834
6 0.09613 198.76094
7 0.106072 231.945135
8 0.115776 265.342206
9 0.124875 298.757498
10 0.133456 332.286659
11 0.141427 365.587985
12 0.14916 398.884445
13 0.156396 432.460536
14 0.163206 465.991984
15 0.16985 499.387957
16 0.176023 532.809323

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.137569 31.838874
2 0.202586 63.689408
3 0.255726 96.045352
4 0.303254 128.374627
5 0.339521 160.515957
6 0.370414 192.684883
7 0.391504 224.773715
8 0.414291 257.239202
9 0.43134 290.637829
10 0.446844 324.383933
11 0.462592 358.156586
12 0.472873 391.975063
13 0.484299 425.51194
14 0.496631 459.087157
15 0.505604 492.994391
16 0.514497 527.109288

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.434057 33.322156
2 0.525579 65.389751
3 0.593655 97.423779
4 0.638253 129.797704
5 0.685804 162.240551
6 0.710259 194.851017
7 0.761463 227.838636
8 0.783433 261.162228
9 0.806781 294.787414
10 0.825063 328.491464
11 0.825159 362.130515
12 0.846795 396.104104
13 0.854557 430.191401
14 0.825594 463.962372
15 0.85568 498.114762
16 0.864842 531.852505

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.747181 33.635044
2 0.699351 65.944982
3 0.698842 98.084246
4 0.577345 130.73108
5 0.700776 162.959254
6 0.608176 196.523824
7 0.771631 229.864302
8 0.718023 262.756115
9 0.705393 296.422515
10 0.745341 330.610296
11 0.662235 364.895012
12 0.678478 399.162377
13 0.67188 432.997217
14 0.66561 466.840845
15 0.753865 501.684819

LR is 1
Epoch & Fidelity & Runtime 
1 0.277261 33.206929
2 0.292391 66.021628
3 0.283194 98.985874
4 0.218649 131.353421
5 0.15471 164.09629
6 0.161941 197.863435
7 0.23173 230.796932
8 0.174598 265.22201
9 0.230067 299.068541
10 0.122798 332.913861
11 0.295711 367.339956
12 0.153278 401.809062
13 0.101341 435.755342
14 0.097883 469.82048
15 0.268788 504.44395

