Optimizer is SGDM

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.141639 31.937645
2 0.207491 63.882771
3 0.251291 95.913411
4 0.289766 127.995076
5 0.326378 160.048174
6 0.359368 192.272371
7 0.386715 224.420248
8 0.409661 256.596373
9 0.430143 288.934369
10 0.447452 321.206985
11 0.463807 353.456762
12 0.475332 386.124325
13 0.487529 418.617735
14 0.498363 451.100063
15 0.506085 483.460865
16 0.515859 515.743438
17 0.524027 548.139138
18 0.530584 580.492347
19 0.537447 613.289801
20 0.545847 645.718783
21 0.5515 678.170423
22 0.558272 710.606149
23 0.564251 743.03025
24 0.569528 775.796905
25 0.574499 808.490518

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.450262 31.242846
2 0.549949 62.775683
3 0.615188 94.131615
4 0.657479 125.828429
5 0.736358 157.173603
6 0.771746 188.86598
7 0.784677 220.51625
8 0.807654 252.340747
9 0.813476 283.743299
10 0.830326 315.303643
11 0.821396 346.866595
12 0.821432 378.644848
13 0.832297 410.886738
14 0.844134 443.706593
15 0.830381 476.318527
16 0.855045 509.261636
17 0.850315 541.893378
18 0.81671 574.660517
19 0.866864 607.518072
20 0.865625 640.715047
21 0.869018 674.030558
22 0.835982 707.037903
23 0.886554 739.986858
24 0.882976 773.407043
25 0.881458 806.310075

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.655119 32.824052
2 0.800348 65.046793
3 0.770771 96.780887
4 0.808185 129.520182
5 0.707971 161.245662
6 0.716797 192.953301
7 0.652042 224.641867
8 0.648083 257.095944
9 0.79538 289.590961
10 0.761046 322.013298
11 0.834267 354.432568
12 0.727117 386.408688
13 0.732323 419.251091
14 0.765312 452.665609
15 0.758571 485.917914
16 0.785668 519.590907
17 0.653576 552.797668
18 0.796722 586.431735
19 0.738942 619.607661
20 0.752132 653.310628
21 0.772321 686.45646
22 0.724785 719.6845
23 0.684325 753.553813
24 0.763555 786.782982
25 0.706859 820.644297

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.211059 34.297851
2 0.267161 66.376407
3 0.212524 99.093403
4 0.286693 131.789411
5 0.134016 163.905565
6 0.266918 196.63254
7 0.240171 229.040892
8 0.310577 261.631988
9 0.060304 294.938474
10 0.228669 328.350214
11 0.281234 360.658753
12 0.017155 392.754002
13 0.152261 425.769402
14 0.085583 459.832975
15 0.030765 493.990225
16 0.101584 527.40518
17 0.139006 560.877944
18 0.272682 595.037917
19 0.192152 629.282003
20 0.134215 662.790806
21 0.282129 696.752083
22 0.096765 731.142066
23 0.091554 764.651144
24 0.120843 799.005585
25 0.112576 834.276604

LR is 1
Epoch & Fidelity & Runtime 
1 0.023519 33.526131
2 0.00501 65.892161
3 0.023814 98.624126
4 0.044128 131.157913
5 0.009712 164.178177
6 0.013132 196.394758
7 0.01052 229.945878
8 0.012116 262.398222
9 0.024501 295.815648
10 0.001964 328.510433
11 0.018274 361.45057
12 0.005785 393.691666
13 0.018594 426.929014
14 0.025146 462.358411
15 0.010997 495.983441
16 0.004426 530.44876
17 0.026233 564.937052
18 0.012932 598.55352
19 0.021282 632.149427
20 0.03146 666.723333
21 0.020518 701.43218
22 0.029492 735.126688
23 0.006363 768.827264
24 0.018624 802.609977

