Learning Rates: 0.001 0.01 
Epoch & Fidelity & KL & Runtime 
1 0.388132 1.221299 0.750185
2 0.411697 1.102475 1.515757
3 0.421685 1.064546 2.305221
4 0.427894 1.046587 3.05515
5 0.431911 1.03449 3.852162
6 0.435793 1.022968 4.617843
7 0.439521 1.011253 5.36779
8 0.443634 0.999054 6.117842
9 0.447709 0.985591 6.867901
10 0.452335 0.97146 7.649098
11 0.45692 0.956233 8.430308
12 0.461932 0.940416 9.180473
13 0.467882 0.923533 9.961782
14 0.473723 0.906208 10.711836
15 0.479858 0.888028 11.477409
16 0.486557 0.869805 12.274336
17 0.493324 0.851278 13.024402
18 0.50059 0.832837 13.758832
19 0.507902 0.814548 14.524514
20 0.51547 0.796403 15.305709

Epoch & Fidelity & KL & Runtime 
1 0.442211 1.012713 0.749946
2 0.4813 0.887207 1.516123
3 0.539487 0.74629 2.250537
4 0.595188 0.643971 3.063086
5 0.636218 0.549059 3.844282
6 0.684921 0.45452 4.609957
7 0.725929 0.387592 5.406882
8 0.752722 0.341253 6.141318
9 0.77482 0.311977 6.891265
10 0.790217 0.292521 7.65591
11 0.802152 0.278276 8.421479
12 0.812572 0.267127 9.218473
13 0.818208 0.256718 9.984046
14 0.823213 0.249531 10.718368
15 0.827918 0.242505 11.499824
16 0.832562 0.236871 12.296751
17 0.835599 0.231404 13.054732
18 0.839976 0.224016 13.820304
19 0.843664 0.223838 14.6017
20 0.846791 0.215695 15.367386

