Learning rate is 0.001

Optimizer is Adadelta
Epoch & Fidelity & Runtime 
1 0.073442 1.273488
2 0.074028 2.542964
3 0.074595 3.81209
4 0.075142 5.077879
5 0.075679 6.342681
6 0.076185 7.61128
7 0.076691 8.875083
8 0.077193 10.140666
9 0.077671 11.408039
10 0.078144 12.670849
11 0.078595 13.951927
12 0.079032 15.2188
13 0.079451 16.487679
14 0.079875 17.752243
15 0.080274 19.020513
16 0.08067 20.290408
17 0.081058 21.559373
18 0.081415 22.826664
19 0.081784 24.099349
20 0.082128 25.371255
21 0.082448 26.636902
22 0.082773 27.90328
23 0.083087 29.190783
24 0.083392 30.458562
25 0.083696 31.729241
26 0.08398 32.994401
27 0.084265 34.264121
28 0.084548 35.531646
29 0.084809 36.822744
30 0.085054 38.089435
31 0.085304 39.358166
32 0.085547 40.626807
33 0.085777 41.900008
34 0.086002 43.170291
35 0.08622 44.46799
36 0.086439 45.735673
37 0.086645 47.006165
38 0.086843 48.27046
39 0.087036 49.538882
40 0.087226 50.803689
41 0.087417 52.076226
42 0.087594 53.343443
43 0.087772 54.612734
44 0.087944 55.879387
45 0.088115 57.1485
46 0.088275 58.452469
47 0.088439 59.723316
48 0.088583 60.989921
49 0.088732 62.259679
50 0.088874 63.527717
51 0.089005 64.79767
52 0.089141 66.065452
53 0.089279 67.338183
54 0.089407 68.603698
55 0.089533 69.871027
56 0.089661 71.139814
57 0.089784 72.409387
58 0.089896 73.718796
59 0.090005 74.986228
60 0.090119 76.252687
61 0.090231 77.518766
62 0.090342 78.786687
63 0.090452 80.055456
64 0.090554 81.322226
65 0.090658 82.58775
66 0.090757 83.852614
67 0.090852 85.118569
68 0.090945 86.388269
69 0.091035 87.657788
70 0.091125 88.973002
71 0.091211 90.2432
72 0.091299 91.509236
73 0.091387 92.776665
74 0.091465 94.040919
75 0.091546 95.305965
76 0.091625 96.572279
77 0.091704 97.839097
78 0.091781 99.108546
79 0.091855 100.376955
80 0.091932 101.644562
81 0.092008 102.911483
82 0.092078 104.24028
83 0.09215 105.507605
84 0.092221 106.773599
85 0.092288 108.043012
86 0.092359 109.312265
87 0.092422 110.58032
88 0.092486 111.848861
89 0.092556 113.118296
90 0.092625 114.388638
91 0.092687 115.661882
92 0.09275 116.93286
93 0.09281 118.204434
94 0.092875 119.530947
95 0.092935 120.828994
96 0.092998 122.098152
97 0.093059 123.367598
98 0.093123 124.636529
99 0.093186 125.909854
100 0.093247 127.182867
101 0.093305 128.453695
102 0.093365 129.724214
103 0.093424 130.995884
104 0.09348 132.267352
105 0.093539 133.60776
106 0.093593 134.877148
107 0.093651 136.14615
108 0.093708 137.420429
109 0.093767 138.694802
110 0.093826 139.964289
111 0.09388 141.238466
112 0.093937 142.512834
113 0.093993 143.783863
114 0.094049 145.053114
115 0.094106 146.321453
116 0.094161 147.592399
117 0.094218 148.936246
118 0.094273 150.206646
119 0.094327 151.481479
120 0.09438 152.750152
121 0.094435 154.019331
122 0.094491 155.287635
123 0.094546 156.56124
124 0.094598 157.831488
125 0.094655 159.101186
126 0.094707 160.373285
127 0.094759 161.646105
128 0.094812 162.91325
