Optimizers: SGD Adam 
Learning Rates: 0.01 0.0001 
Epoch & Fidelity & KL & Runtime 
1 0.453254 0.874775 9.055795
2 0.547073 0.720717 18.135785
3 0.582387 0.662734 27.192516
4 0.602105 0.609253 36.218521
5 0.63808 0.527907 45.157466
6 0.671044 0.473244 54.025194
7 0.702518 0.425393 62.978611
8 0.736678 0.371756 71.929911
9 0.766803 0.327507 80.880217
10 0.782501 0.298656 89.843684
11 0.797106 0.289667 98.731593
12 0.809957 0.272559 107.677136
13 0.811578 0.272883 116.606493
14 0.835094 0.22748 125.709088
15 0.843655 0.207011 134.71155
16 0.85576 0.189636 143.794015
17 0.855109 0.192277 152.746833
18 0.858501 0.199307 161.764557
19 0.875511 0.162783 170.819962
20 0.88143 0.153223 179.837101
21 0.846603 0.247031 188.905507
22 0.892732 0.138518 197.881895
23 0.885705 0.159672 206.901747
24 0.894309 0.141528 215.87771
25 0.904625 0.122677 224.903329
26 0.905581 0.119182 233.93569
27 0.91033 0.118649 242.92534
28 0.90432 0.131567 251.858317
29 0.913785 0.115607 260.936999
30 0.920857 0.104044 269.872577
31 0.918569 0.108401 278.856272
32 0.911669 0.126448 287.836178
33 0.914943 0.123273 296.903699
34 0.912072 0.130544 306.007018
35 0.922972 0.103633 314.999224
36 0.92354 0.105935 323.988569
37 0.925923 0.1022 332.995838
38 0.930141 0.094001 341.867801
39 0.93137 0.094844 350.874922
40 0.926803 0.10486 359.905501
41 0.919691 0.12217 368.842071
42 0.926114 0.10784 377.819473
43 0.929198 0.103051 386.728201
44 0.936691 0.087188 395.683519
45 0.92247 0.118403 404.651164
46 0.931906 0.096815 413.630158
47 0.933994 0.094093 422.584779
48 0.933809 0.096411 431.482003
49 0.934014 0.098051 440.433511
50 0.940704 0.084297 449.428322
51 0.938633 0.088678 458.403339
52 0.935655 0.096012 467.542728
53 0.919384 0.133336 476.535773
54 0.941775 0.082846 485.668
55 0.945536 0.076722 494.670742
56 0.940639 0.088919 503.631674

Epoch & Fidelity & KL & Runtime 
1 0.101116 2.733997 9.972822
2 0.138512 2.215742 20.008401
3 0.186859 1.878805 30.057027
4 0.217685 1.722579 39.975162
5 0.240413 1.617943 49.870467
6 0.259427 1.538562 59.794823
7 0.274103 1.476114 69.750412
8 0.287535 1.425733 79.714943
9 0.299379 1.380296 89.6193
10 0.310564 1.33573 99.550107
11 0.321488 1.289044 109.554407
12 0.33277 1.238815 119.481513
13 0.345271 1.185432 129.507253
14 0.360517 1.12984 139.515054
15 0.37594 1.073841 149.388844
16 0.393333 1.018223 159.302688
17 0.411716 0.96609 169.222898
18 0.430512 0.917648 179.196167
19 0.448684 0.876441 189.215547
20 0.465765 0.840695 199.132796
21 0.480652 0.810706 209.188208
22 0.496126 0.78614 219.140193
23 0.507725 0.765762 229.121716
24 0.519394 0.745097 239.059686
25 0.529542 0.729265 249.003359
26 0.539412 0.713758 258.965271
27 0.546448 0.700004 269.012539
28 0.554308 0.687453 278.984385
29 0.560901 0.675531 288.985319
30 0.566855 0.662993 298.941811
31 0.572677 0.65137 309.007853
32 0.578767 0.640445 319.091828
33 0.583223 0.629797 329.063531
34 0.588667 0.618449 339.019399
35 0.593013 0.608747 348.977917
36 0.597103 0.598467 358.871001
37 0.60319 0.58903 368.832306
38 0.606618 0.580303 378.84653
39 0.611419 0.570851 388.73181
40 0.615874 0.562282 398.814998
41 0.620458 0.552617 408.913097
42 0.624878 0.545423 418.800877
43 0.62838 0.539315 428.917929
44 0.632624 0.530274 438.923731
45 0.635339 0.52375 448.79685
46 0.639724 0.516728 458.784583
47 0.642411 0.510636 468.806108
48 0.645864 0.503924 478.872336
49 0.649211 0.498385 488.901428
50 0.653701 0.490974 498.83609
51 0.656486 0.485264 508.681279

