Learning rate is 0.01

Optimizer is Adadelta
Epoch & Fidelity & Runtime 
1 0.088258 1.271685
2 0.089172 2.516964
3 0.089944 3.760328
4 0.090635 5.009498
5 0.091257 6.24675
6 0.091854 7.492597
7 0.09242 8.730978
8 0.092979 9.971921
9 0.093565 11.212993
10 0.094151 12.45378
11 0.094731 13.706755
12 0.095331 14.952484
13 0.095948 16.191114
14 0.096608 17.430008
15 0.097285 18.669715
16 0.097968 19.908873
17 0.098688 21.151238
18 0.099451 22.390786
19 0.100236 23.627699
20 0.101045 24.867898
21 0.101883 26.108493
22 0.10274 27.350445
23 0.103638 28.617193
24 0.104584 29.854903
25 0.105554 31.095191
26 0.106554 32.335457
27 0.107587 33.57456
28 0.108635 34.816914
29 0.109725 36.087049
30 0.110824 37.329917
31 0.111961 38.574256
32 0.11311 39.820074
33 0.11433 41.063111
34 0.115561 42.306469
35 0.116806 43.572793
36 0.118048 44.817984
37 0.119329 46.061178
38 0.120632 47.303144
39 0.12196 48.546595
40 0.123279 49.790863
41 0.124579 51.032579
42 0.125925 52.280481
43 0.127277 53.523368
44 0.128622 54.766698
45 0.129975 56.011215
46 0.131311 57.25786
47 0.13267 58.530584
48 0.134 59.775718
49 0.135337 61.01749
50 0.136651 62.265539
51 0.13801 63.509356
52 0.139327 64.753547
53 0.14058 65.996706
54 0.141883 67.244458
55 0.143161 68.490529
56 0.144392 69.739017
57 0.145594 70.983054
58 0.146843 72.22751
59 0.148093 73.506516
60 0.149304 74.748441
61 0.150412 75.988495
62 0.151543 77.233145
63 0.152636 78.474907
64 0.153692 79.719063
65 0.154769 80.960245
66 0.155793 82.209721
67 0.15688 83.45687
68 0.157879 84.69667
69 0.158843 85.935969
70 0.159847 87.176633
71 0.16091 88.45973
72 0.161871 89.702188
73 0.162872 90.943834
74 0.16379 92.182278
75 0.164738 93.419456
76 0.165658 94.660882
77 0.166557 95.903292
78 0.167462 97.141742
79 0.168349 98.378779
80 0.169245 99.618889
81 0.170088 100.859953
82 0.170962 102.096871
83 0.171753 103.385594
84 0.17264 104.62372
85 0.173463 105.860466
86 0.174276 107.100866
87 0.175111 108.341473
88 0.175934 109.582342
89 0.176701 110.828016
90 0.17751 112.066037
91 0.178371 113.308837
92 0.179212 114.549145
93 0.179963 115.789217
94 0.180741 117.030353
95 0.181537 118.294699
96 0.182282 119.589281
97 0.183022 120.830089
98 0.183753 122.069523
99 0.184514 123.30608
100 0.185284 124.551433
101 0.186037 125.792968
102 0.186788 127.034518
103 0.187634 128.28186
104 0.188418 129.523154
105 0.189219 130.764004
106 0.190011 132.003219
107 0.190859 133.249051
108 0.191653 134.550848
109 0.192429 135.790566
110 0.193214 137.033249
111 0.19398 138.273444
