Optimizer is Adam
LR is 0.0001
Epoch & Fidelity & Runtime
1 0.114683 8.46452
2 0.16248 16.872126
3 0.196757 25.482209
4 0.229442 33.998093
5 0.261391 42.586585
6 0.289883 51.05506
7 0.315311 59.57646
8 0.33905 68.176686
9 0.36341 76.770069
10 0.38737 85.242761
11 0.412809 93.761382
12 0.438555 102.240415
13 0.460913 110.679813
14 0.482241 119.293518
15 0.500111 127.731333
16 0.516193 136.200606
17 0.529713 144.652972
18 0.541758 153.304368
19 0.552432 161.797378
20 0.559881 170.292413
21 0.570376 178.784681
22 0.578157 187.213029
23 0.585865 195.762779
24 0.595116 204.233126
25 0.602512 212.701114
26 0.608979 221.119673
27 0.615942 229.79172
28 0.623441 238.334432
29 0.629757 246.775436
30 0.637607 255.287474
31 0.644304 263.792251
32 0.649576 272.265158
33 0.658142 280.767997
34 0.663547 289.359258
35 0.670994 298.011526
36 0.677378 306.673562

Optimizer is NAG
LR is 0.001
Epoch & Fidelity & Runtime
1 0.424188 9.885812
2 0.544064 19.765287
3 0.575505 29.703615
4 0.607611 39.615207
5 0.643075 49.500516
6 0.676342 59.4028
7 0.699287 69.287442
8 0.722944 79.244409
9 0.741138 89.183357
10 0.756024 99.094129
11 0.779318 109.057356
12 0.783425 118.928782
13 0.795365 128.871414
14 0.810039 138.825184
15 0.796008 148.748922
16 0.816914 158.679485
17 0.819409 168.765178
18 0.829068 178.64875
19 0.839837 188.697407
20 0.83102 198.656855
21 0.835455 208.548795
22 0.845728 218.43785
23 0.829392 228.464634
24 0.846654 238.406669
25 0.854239 248.418158
26 0.855079 258.301606
27 0.850444 268.279097
28 0.8567 278.313419
29 0.851854 288.269695
30 0.852307 298.250825
31 0.860075 308.286075

Optimizer is SGD
LR is 0.01
Epoch & Fidelity & Runtime
1 0.457627 7.660376
2 0.555835 14.700529
3 0.585603 21.96115
4 0.630103 29.143641
5 0.677044 36.192838
6 0.712134 43.291265
7 0.735511 50.390649
8 0.754259 57.512739
9 0.761895 64.645975
10 0.784849 71.858411
11 0.786801 79.015115
12 0.781816 86.195665
13 0.806273 93.532078
14 0.80984 100.709384
15 0.809706 107.836722
16 0.81799 114.942525
17 0.827879 122.098502
18 0.825546 129.346092
19 0.833241 136.463404
20 0.828117 143.632758
21 0.837683 150.771719
22 0.8415 157.929855
23 0.837631 165.05969
24 0.838731 172.28133
25 0.847376 179.474041
26 0.854837 186.697754
27 0.860174 193.790497
28 0.855528 201.040934
29 0.857221 208.227287
30 0.857108 215.419579
31 0.862797 222.66054
32 0.860709 229.800516
33 0.858782 237.100972
34 0.856124 244.21481
35 0.869577 251.476685
36 0.870156 258.646034
37 0.853928 265.907571
38 0.868345 273.118358
39 0.87652 280.396229
40 0.872937 287.535784
41 0.865796 294.753308
42 0.873873 301.958765

Optimizer is SGDM
LR is 0.001
Epoch & Fidelity & Runtime
1 0.423016 7.284728
2 0.535708 14.613129
3 0.578694 21.939289
4 0.616733 29.348688
5 0.647304 36.757436
6 0.68918 44.171631
7 0.704175 51.553959
8 0.722268 59.031376
9 0.748445 66.381866
10 0.754933 73.751529
11 0.76016 81.115753
12 0.779037 88.509227
13 0.784947 95.858109
14 0.770147 103.41102
15 0.784567 110.781383
16 0.786737 118.179168
17 0.794184 125.679702
18 0.809456 133.120723
19 0.795923 140.519656
20 0.806304 147.923297
21 0.798402 155.250252
22 0.794642 162.692099
23 0.809303 170.063349
24 0.802869 177.441656
25 0.807246 184.778114
26 0.81395 192.161813
27 0.802221 199.477894
28 0.812291 206.969711
29 0.811268 214.358076
30 0.809343 221.93452
31 0.82205 229.237345
32 0.822717 236.614478
33 0.81714 244.161781
34 0.81566 251.513611
35 0.818913 258.871742
36 0.805647 266.225421
37 0.799355 273.662834
38 0.807952 281.030417
39 0.791952 288.51078
40 0.802417 295.923354
41 0.794678 303.263526

