Optimizer is SGDM

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.147474 7.340912
2 0.20586 14.762301
3 0.247302 22.074076
4 0.289919 29.407458
5 0.329825 36.879339
6 0.362566 44.317774
7 0.390798 51.764817
8 0.415577 59.124017
9 0.436834 66.382608
10 0.457038 73.716994
11 0.474276 81.087298
12 0.49173 88.466561
13 0.504966 95.862671
14 0.516507 103.221112
15 0.525309 110.580719
16 0.535125 117.884258
17 0.542643 125.256883
18 0.548686 132.633648
19 0.553142 139.989015
20 0.558232 147.358747
21 0.561618 154.736086
22 0.564454 162.024249
23 0.56834 169.370325
24 0.571969 176.702224
25 0.573249 184.083545
26 0.575753 191.642311
27 0.578967 199.083309
28 0.58214 206.446916
29 0.583096 213.808592
30 0.587286 221.147319
31 0.589143 228.453785
32 0.591107 235.767678
33 0.592614 243.186777
34 0.596364 250.67138
35 0.597921 258.109591
36 0.600402 265.571291
37 0.601638 272.90127
38 0.603404 280.218426
39 0.605239 287.671147
40 0.609032 295.061963
41 0.610609 302.442305

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.423016 7.284728
2 0.535708 14.613129
3 0.578694 21.939289
4 0.616733 29.348688
5 0.647304 36.757436
6 0.68918 44.171631
7 0.704175 51.553959
8 0.722268 59.031376
9 0.748445 66.381866
10 0.754933 73.751529
11 0.76016 81.115753
12 0.779037 88.509227
13 0.784947 95.858109
14 0.770147 103.41102
15 0.784567 110.781383
16 0.786737 118.179168
17 0.794184 125.679702
18 0.809456 133.120723
19 0.795923 140.519656
20 0.806304 147.923297
21 0.798402 155.250252
22 0.794642 162.692099
23 0.809303 170.063349
24 0.802869 177.441656
25 0.807246 184.778114
26 0.81395 192.161813
27 0.802221 199.477894
28 0.812291 206.969711
29 0.811268 214.358076
30 0.809343 221.93452
31 0.82205 229.237345
32 0.822717 236.614478
33 0.81714 244.161781
34 0.81566 251.513611
35 0.818913 258.871742
36 0.805647 266.225421
37 0.799355 273.662834
38 0.807952 281.030417
39 0.791952 288.51078
40 0.802417 295.923354
41 0.794678 303.263526

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.71919 7.917489
2 0.757574 15.176077
3 0.739646 22.534694
4 0.871137 29.900485
5 0.791813 37.325691
6 0.768381 44.680079
7 0.860863 52.063353
8 0.858799 59.401192
9 0.832104 66.754705
10 0.85111 74.029187
11 0.800739 81.419696
12 0.822236 88.737307
13 0.849757 96.237111
14 0.808561 103.591584
15 0.818357 110.976411
16 0.719603 118.400119
17 0.716679 125.779123
18 0.69341 133.106802
19 0.723033 140.52679
20 0.793409 147.914355
21 0.795821 155.286756
22 0.767118 162.701975
23 0.743866 170.116044
24 0.682558 177.561096
25 0.691891 185.062218
26 0.745115 192.497352
27 0.673477 199.979432
28 0.731647 207.349153
29 0.789357 214.696729
30 0.78755 222.110276
31 0.646686 229.598553
32 0.673223 236.90596
33 0.651626 244.609266
34 0.731692 251.927063
35 0.721828 259.282472
36 0.700656 266.78345
37 0.772575 274.250545
38 0.744007 281.610594
39 0.622151 289.158423
40 0.655307 296.610996
41 0.721884 304.017271

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.256958 7.368949
2 0.625236 14.706514
3 0.330062 22.015918
4 0.317358 29.372457
5 0.105096 36.788796
6 0.314358 44.285979
7 0.251924 51.645924
8 0.248642 59.08315
9 0.287889 66.454956
10 0.176008 73.868871
11 0.234814 81.205622
12 0.391395 88.719999
13 0.105456 96.049689
14 0.297055 103.466158
15 0.248489 110.802037
16 0.088883 118.197943
17 0.296128 125.699429
18 0.079122 133.066293
19 0.189881 140.47431
20 0.174534 147.928017
21 0.017016 155.373152
22 0.359033 162.810821
23 0.089172 170.342411
24 0.127261 177.809137
25 0.021736 185.262538
26 0.049926 192.800765
27 0.122406 200.207309
28 0.089877 207.751188
29 0.030355 215.125179
30 0.201695 222.607141
31 0.315668 230.020133
32 0.225706 237.404528
33 0.10655 244.759098
34 0.128704 252.361371
35 0.075424 259.65934
36 0.046084 267.121125
37 0.068919 274.57933
38 0.017509 282.019306
39 0.029404 289.386906
40 0.173616 296.775345
41 0.094937 304.099601

LR is 1
Epoch & Fidelity & Runtime 
1 0.034385 7.404205
2 0.022829 14.653477
3 0.036531 22.017046
4 0.048925 29.323597
5 0.046906 36.713901
6 0.017194 43.99874
7 0.049329 51.35697
8 0.053862 58.682573
9 0.058473 66.086812
10 0.030609 73.44002
11 0.02321 80.89339
12 0.040348 88.196579
13 0.02117 95.566808
14 0.016968 102.886742
15 0.039464 110.250072
16 0.038554 117.694493
17 0.051946 125.18031
18 0.018713 132.508588
19 0.061255 139.830647
20 0.02939 147.142678
21 0.011315 154.454763
22 0.07157 161.875635
23 0.016654 169.209483
24 0.012274 176.711035
25 0.020901 184.150729
26 0.018933 191.666404
27 0.037547 198.986155
28 0.024342 206.522325
29 0.034132 213.813586
30 0.032687 221.216462
31 0.016609 228.620616
32 0.040358 235.979696
33 0.027064 243.41417
34 0.038311 250.925493
35 0.016023 258.359777
36 0.034655 265.748702
37 0.03858 273.013891
38 0.035953 280.390254
39 0.020793 287.742232
40 0.043062 295.298134
41 0.034308 302.662293

