Optimizer is NAG

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.132794 34.388669
2 0.203613 68.615739
3 0.255246 103.039008
4 0.299884 137.256925
5 0.339777 171.49308
6 0.371821 205.94212
7 0.397738 240.528255
8 0.419417 274.960141
9 0.436737 309.461867
10 0.451465 344.221766
11 0.463244 378.693726
12 0.475912 413.400255
13 0.485442 448.334387
14 0.492765 482.967899
15 0.500651 517.620831
16 0.510264 552.780468
17 0.517532 587.50699
18 0.525841 622.291136
19 0.532529 657.424195
20 0.539867 692.613936
21 0.547094 727.519259
22 0.554359 762.841809
23 0.56157 797.627919
24 0.568803 832.402778

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.450644 33.316714
2 0.553133 66.669705
3 0.622968 100.033935
4 0.685573 134.203157
5 0.707274 168.28659
6 0.749345 201.693017
7 0.757012 234.972275
8 0.802618 269.429094
9 0.79091 303.847836
10 0.804259 337.205843
11 0.831007 371.165069
12 0.836883 404.942531
13 0.818724 439.733571
14 0.845514 474.534734
15 0.813774 509.712008
16 0.837609 544.922956
17 0.829393 580.734539
18 0.85177 616.040653
19 0.870775 650.96892
20 0.86886 685.976227
21 0.878028 721.935725
22 0.877087 757.040304
23 0.839774 792.50424
24 0.867641 827.623584

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.560305 34.829048
2 0.752478 68.779225
3 0.769763 102.855762
4 0.676118 136.432817
5 0.623684 170.550178
6 0.499426 204.58967
7 0.798505 238.349451
8 0.502282 272.529557
9 0.628323 306.274755
10 0.632217 341.485077
11 0.795016 375.270957
12 0.742564 409.459789
13 0.606686 444.995937
14 0.694405 480.525023
15 0.776521 515.676641
16 0.76871 551.287979
17 0.749283 586.397899
18 0.583124 622.559628
19 0.750419 657.659831
20 0.750397 692.797992
21 0.695574 728.50721
22 0.86084 763.619732
23 0.58936 799.365142
24 0.734837 835.280903

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.226889 35.047986
2 0.175288 70.216678
3 0.286836 104.068536
4 0.180485 137.884723
5 0.26293 171.703601
6 0.106405 206.699116
7 0.163162 240.870727
8 0.203122 275.272985
9 0.306015 310.968575
10 0.19565 345.57232
11 0.148701 380.496552
12 0.014618 416.172587
13 0.193805 451.399858
14 0.179617 486.957896
15 0.195953 523.134783
16 0.053678 558.956859
17 0.235855 595.297997
18 0.01863 631.848366
19 0.194509 669.174799
20 0.053832 705.121664
21 0.035374 741.024045
22 0.111086 777.801431
23 0.040451 814.451119

LR is 1
Epoch & Fidelity & Runtime 
1 0.033885 35.352307
2 0.013781 69.553004
3 0.021751 104.527898
4 0.022868 139.361272
5 0.015367 173.408124
6 0.031282 208.32829
7 0.026721 243.659108
8 0.036326 279.408453
9 0.033597 317.257739
10 0.043428 351.981546
11 0.034276 389.925689
12 0.02599 427.423778
13 0.025987 465.002623
14 0.038192 501.632249
15 0.022885 539.511452
16 0.032795 576.222691
17 0.023257 614.044421
18 0.017343 650.641036
19 0.010532 689.44823
20 0.024934 727.425997
21 0.036863 765.615122
22 0.026338 802.570569

