Optimizer is SGD

LR is 0.0001
Epoch & Fidelity & Runtime 
1 0.06491 32.390158
2 0.069501 64.725601
3 0.075275 97.110584
4 0.082812 129.523456
5 0.091756 161.910555
6 0.101217 194.454928
7 0.110443 226.972591
8 0.1191 259.478429
9 0.127186 292.168512
10 0.135002 324.88503
11 0.142704 357.671767
12 0.150374 390.319916
13 0.15768 422.998329
14 0.164823 455.695176
15 0.171859 488.708562
16 0.178417 521.469848

LR is 0.001
Epoch & Fidelity & Runtime 
1 0.128681 31.342041
2 0.200641 62.66954
3 0.250925 94.276319
4 0.294696 125.574938
5 0.3304 157.333271
6 0.360737 189.541203
7 0.38396 221.032696
8 0.404568 253.155959
9 0.424547 285.710896
10 0.441492 318.59359
11 0.458473 351.471626
12 0.471321 385.034846
13 0.485731 417.992146
14 0.494822 450.986924
15 0.503527 484.057049
16 0.514191 517.039334

LR is 0.01
Epoch & Fidelity & Runtime 
1 0.467276 32.411068
2 0.566756 63.967017
3 0.631606 95.519488
4 0.686824 127.048292
5 0.726157 160.341916
6 0.754926 192.001556
7 0.78198 224.358753
8 0.795351 256.573933
9 0.815873 289.604071
10 0.828147 323.04098
11 0.838366 356.486132
12 0.834568 389.577365
13 0.841964 422.701586
14 0.846258 456.268741
15 0.827071 490.15728
16 0.847929 523.428881

LR is 0.1
Epoch & Fidelity & Runtime 
1 0.737579 32.666953
2 0.632691 65.584828
3 0.510519 97.314179
4 0.767352 129.035906
5 0.792914 161.306227
6 0.664844 193.582713
7 0.732433 226.339
8 0.841994 259.868162
9 0.743248 293.088406
10 0.730481 326.361887
11 0.73768 360.160441
12 0.727841 393.520194
13 0.611149 427.516593
14 0.65122 460.850385
15 0.802315 494.926213
16 0.756361 528.493616

LR is 1
Epoch & Fidelity & Runtime 
1 0.173691 33.117313
2 0.141159 65.112787
3 0.266734 97.353912
4 0.255069 129.896325
5 0.231443 162.167365
6 0.193835 195.278123
7 0.364732 228.188211
8 0.321082 261.90411
9 0.206363 297.106462
10 0.109902 331.20029
11 0.228143 365.459265
12 0.223616 400.296118
13 0.120383 434.536375
14 0.252747 469.526935
15 0.262023 504.934284

