Batch Sizes: 16 32 
Epoch & Fidelity & KL & Runtime 
1 0.780233 0.488764 0.632663
2 0.826092 0.36506 1.264349
3 0.872779 0.253358 1.947783
4 0.904861 0.18387 2.557994
5 0.925648 0.142784 3.200421
6 0.941707 0.112899 3.848707
7 0.943676 0.110722 4.488204
8 0.953402 0.092069 5.121844
9 0.955235 0.088659 5.778916
10 0.95774 0.083772 6.460397
11 0.959102 0.081099 7.097943
12 0.965958 0.066997 7.743299
13 0.970094 0.058829 8.380846
14 0.972681 0.053406 9.032059
15 0.976813 0.04506 9.678395
16 0.978516 0.041696 10.329607
17 0.980998 0.036727 10.996443
18 0.984336 0.030397 11.642776
19 0.984977 0.029168 12.329139
20 0.986744 0.025838 12.994023
21 0.988777 0.021862 13.629615
22 0.987307 0.024913 14.26521
23 0.988647 0.022275 14.904707
24 0.987271 0.025075 15.526634

Epoch & Fidelity & KL & Runtime 
1 0.769152 0.526025 0.37784
2 0.789936 0.467108 0.738109
3 0.811347 0.407793 1.099351
4 0.832495 0.352898 1.442044
5 0.8527 0.302902 1.771069
6 0.873865 0.2536 2.12743
7 0.891806 0.213079 2.474031
8 0.905273 0.185166 2.819651
9 0.920672 0.152973 3.188705
10 0.926883 0.1419 3.537257
11 0.932789 0.131055 3.881903
12 0.939738 0.117679 4.230454
13 0.947572 0.102386 4.615129
14 0.949206 0.100043 4.989067
15 0.952862 0.093361 5.327852
16 0.956511 0.086459 5.663711
17 0.955953 0.088247 6.022027
18 0.959018 0.082042 6.373505
19 0.958678 0.082715 6.720104
20 0.963377 0.073119 7.053035
21 0.965346 0.068951 7.384987
22 0.964606 0.07066 7.719869
23 0.968964 0.061646 8.059633
24 0.969979 0.059283 8.410138
25 0.972804 0.053653 8.758688
26 0.973947 0.051172 9.114085
27 0.977884 0.043201 9.454814
28 0.978106 0.042664 9.782862
29 0.981289 0.036276 10.125555
30 0.981613 0.035805 10.464345
31 0.984033 0.030963 10.810941
32 0.985569 0.027986 11.157542
33 0.98683 0.025482 11.483635
34 0.987449 0.024312 11.836092
35 0.989319 0.020666 12.183668
36 0.990601 0.018205 12.512691
37 0.99042 0.018628 12.850505
38 0.988578 0.022508 13.195148
39 0.99171 0.01623 13.531008
40 0.992616 0.014467 13.879558
41 0.993062 0.013631 14.230062
42 0.992509 0.01474 14.562993
43 0.992768 0.014283 14.899829
44 0.99355 0.012751 15.245449

